# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
1.3013013013013013e+00 5.6794617534666489e+00 -1.5901053358907423e-02 1.4765652465410377e-04 4.3332987483086313e-05 7.1471393676115577e-06 3.6740746362618388e+00 2.6259123472370102e-05 1.2642175805363938e-04 1.1364704859058586e-07 7.7871223762761616e-05 -1.2664744038287096e-02 -5.0516940138383718e-11
1.4014014014014016e+00 5.6778690337586344e+00 -1.5921511704823119e-02 1.5205785059713896e-04 4.4612343301663165e-05 7.1470488060730580e-06 4.0608869136780772e+00 2.9023356968000606e-05 1.2674727713297946e-04 1.1379182561369103e-07 8.0359599261072630e-05 -1.2746964713601152e-02 -5.0517602595295943e-11
1.5015015015015016e+00 5.6762742587570916e+00 -1.5942114353327711e-02 1.5658930910321606e-04 4.5933093388250430e-05 7.1469580118085130e-06 4.4884233877350690e+00 3.2078573491361862e-05 1.2707551526999620e-04 1.1393762656130506e-07 8.2857356493362265e-05 -1.2812044181051255e-02 -5.0518266757090792e-11
1.6016016016016017e+00 5.6746774152461281e+00 -1.5962838233058763e-02 1.6125505610763084e-04 4.7295552014061001e-05 7.1468669830184631e-06 4.9609715650319153e+00 3.5455403881820029e-05 1.2740611310092288e-04 1.1408428646384351e-07 8.5382680205685156e-05 -1.2864462166474210e-02 -5.0518932626792595e-11
1.7017017017017018e+00 5.6730784919150299e+00 -1.5983666079400653e-02 1.6605929707508630e-04 4.8700288677877411e-05 7.1467757181152085e-06 5.4832703475138160e+00 3.9187703375472879e-05 1.2773880221298066e-04 1.1423168186277648e-07 8.7949448641180448e-05 -1.2907577035486832e-02 -5.0519600208135883e-11
1.8018018018018018e+00 5.6714774790656977e+00 -1.6004585553514496e-02 1.7100630007682897e-04 5.0148097366470187e-05 7.1466842156904578e-06 6.0605575560743734e+00 4.3312891024280259e-05 1.2807339162657354e-04 1.1437972451151810e-07 9.0567881891241405e-05 -1.2943799147223552e-02 -5.0520269505451192e-11
1.9019019019019021e+00 5.6698743679949484e+00 -1.6025587381724413e-02 1.7610042308657481e-04 5.1639919158345903e-05 7.1465924744455071e-06 6.6986224575164703e+00 4.7872324844038874e-05 1.2840973847843523e-04 1.1452834807504812e-07 9.3246082508062971e-05 -1.2974948084724710e-02 -5.0520940523436121e-11
2.0020020020020022e+00 5.6682691507449015e+00 -1.6046664603896154e-02 1.8134612608619366e-04 5.3176815446145667e-05 7.1465004931632420e-06 7.4038638216330694e+00 5.2911716452614218e-05 1.2874773627301317e-04 1.1467750275663051e-07 9.5990587917973440e-05 -1.3002398080001750e-02 -5.0521613267059827e-11
2.1021021021021022e+00 5.6666618200628962e+00 -1.6067812453115182e-02 1.8674797795536658e-04 5.4759958810146501e-05 7.1464082707040153e-06 8.1833540906275601e+00 5.8481589355360329e-05 1.2908731318654094e-04 1.1482715443684459e-07 9.8806593230469714e-05 -1.3027103465133983e-02 -5.0522287741546752e-11
2.2022022022022023e+00 5.6650523691957613e+00 -1.6089027736229652e-02 1.9231066688911666e-04 5.6390612620791837e-05 7.1463158059823373e-06 9.0449103043902070e+00 6.4637785471956247e-05 1.2942842232818301e-04 1.1497728024538750e-07 1.0169837410278434e-04 -1.3049717868720860e-02 -5.0522963952296613e-11
2.3023023023023024e+00 5.6634407914158480e+00 -1.6110307406208616e-02 1.9803901747689491e-04 5.8070089016381802e-05 7.1462230979126658e-06 9.9971724928977554e+00 7.1442024982563081e-05 1.2977101890445457e-04 1.1512785835723242e-07 1.0467009457520105e-04 -1.3070864345502852e-02 -5.0523641904703998e-11
2.4024024024024024e+00 5.6618270803635529e+00 -1.6131649594562869e-02 2.0393798557341846e-04 5.9799780787602691e-05 7.1461301454488356e-06 1.1049690321886450e+01 7.8962525107107001e-05 1.3011507688739211e-04 1.1527887537103413e-07 1.0772525058018455e-04 -1.3090941842511927e-02 -5.0524321604282861e-11
2.5025025025025025e+00 5.6602112299368939e+00 -1.6153053279085627e-02 2.1001266922389598e-04 6.1581140605344918e-05 7.1460369475716796e-06 1.2213018860715962e+01 8.7274684020066044e-05 1.3046058377175137e-04 1.1543032393405124e-07 1.1086710914956213e-04 -1.3110188903195897e-02 -5.0525003056626868e-11
2.6026026026026026e+00 5.6585932340694356e+00 -1.6174517615088688e-02 2.1626831513493441e-04 6.3415675409536908e-05 7.1459435032633353e-06 1.3498824432822563e+01 9.6461836757420768e-05 1.3080752984775444e-04 1.1558219796239939e-07 1.1409881415671887e-04 -1.3128809852628067e-02 -5.0525686267316983e-11
2.7027027027027031e+00 5.6569730865732977e+00 -1.6196041462772089e-02 2.2271032459076801e-04 6.5304943110792882e-05 7.1458498114890851e-06 1.4920001610272244e+01 1.0661609069418076e-04 1.3115590056484201e-04 1.1573448926333427e-07 1.1742345197617909e-04 -1.3147063341937801e-02 -5.0526371241854251e-11
2.8028028028028031e+00 5.6553507813310642e+00 -1.6217623965892877e-02 2.2934425770866117e-04 6.7250555305090127e-05 7.1457558712196839e-06 1.6490802525681858e+01 1.1783924896901552e-04 1.3150568588396721e-04 1.1588719167078257e-07 1.2084406365555902e-04 -1.3165153982369004e-02 -5.0527057985734204e-11
2.9029029029029032e+00 5.6537263125377102e+00 -1.6239265281165829e-02 2.3617583740894601e-04 6.9254181436629119e-05 7.1456616814594860e-06 1.8226979798299961e+01 1.3024383111344818e-04 1.3185689215255454e-04 1.1604030625772764e-07 1.2436364595847801e-04 -1.3183096742544540e-02 -5.0527746504542592e-11
3.0030030030030033e+00 5.6520996746767382e+00 -1.6260966506770266e-02 2.4321095474399729e-04 7.1317548953804433e-05 7.1455672412436718e-06 2.0145944507567151e+01 1.4395420111718471e-04 1.3220954105137229e-04 1.1619384082484200e-07 1.2798518468754073e-04 -1.3200731502939820e-02 -5.0528436803942215e-11
3.1031031031031033e+00 5.6504708619147106e+00 -1.6282727858336902e-02 2.5045567723044719e-04 7.3442434003215289e-05 7.1454725495679329e-06 2.2266940798377895e+01 1.5910781423766353e-04 1.3256363999716183e-04 1.1634779686546477e-07 1.3171174789410170e-04 -1.3218063296669590e-02 -5.0529128889420247e-11
3.2032032032032034e+00 5.6488398687973236e+00 -1.6304550767092776e-02 2.5791625268206984e-04 7.5630667707757621e-05 7.1453776054717069e-06 2.4611238869055210e+01 1.7585659505786193e-04 1.3291921625633514e-04 1.1650218455938234e-07 1.3554654630667834e-04 -1.3234871699918218e-02 -5.0529822766573166e-11
3.3033033033033035e+00 5.6472066879188132e+00 -1.6326430856624705e-02 2.6559911987067517e-04 7.7884119983181270e-05 7.1452824077589426e-06 2.7202348277398706e+01 1.9436846059622874e-04 1.3327620241371542e-04 1.1665697258479787e-07 1.3949274803269008e-04 -1.3252014465217791e-02 -5.0530518440128704e-11
3.4034034034034035e+00 5.6455713127045675e+00 -1.6348366329011755e-02 2.7351090707365222e-04 8.0204724771947407e-05 7.1451869553298609e-06 3.0066253703924282e+01 2.1482900376091789e-04 1.3363457283593728e-04 1.1681214804688091e-07 1.4355362732045121e-04 -1.3269867608480094e-02 -5.0531215915095930e-11
3.5035035035035036e+00 5.6439337401120380e+00 -1.6370366104351722e-02 2.8165842797848263e-04 8.2594514501036328e-05 7.1450912474997042e-06 3.3231675536623406e+01 2.3744335401647794e-04 1.3399447719954596e-04 1.1696777463943270e-07 1.4773261821300060e-04 -1.3286823501753911e-02 -5.0531915197887290e-11
3.6036036036036037e+00 5.6422939663109890e+00 -1.6392436803630082e-02 2.9004870181912159e-04 8.5055574115993845e-05 7.1449952834878132e-06 3.6730357890490176e+01 2.6243823388837171e-04 1.3435602828974343e-04 1.1712389962417033e-07 1.5203327883684797e-04 -1.3301707887599131e-02 -5.0532616294521086e-11
3.7037037037037037e+00 5.6406519848232239e+00 -1.6414577143247698e-02 2.9868896569497995e-04 8.7590021936083057e-05 7.1448990621976147e-06 4.0597386950190916e+01 2.9006423194809276e-04 1.3471920974042346e-04 1.1728051377766636e-07 1.5645919482903852e-04 -1.3314810796217038e-02 -5.0533319209831884e-11
