# k_modes P_R(k) P_S(k) P_RS(k) 
4.5673016486928767e-05 1.2251518587620999e-07 1.1323228176775229e-57 -1.1752764718214604e-32
5.0774933863183912e-05 1.1404816113382154e-07 1.0599767911597070e-57 -1.0969521361922295e-32
5.6446762379895238e-05 1.0613782054552645e-07 9.9457252773825142e-58 -1.0248950723416261e-32
6.2752164124090361e-05 9.8748727334622571e-08 9.3908051174270958e-58 -9.6043718337255967e-33
6.9761912574445886e-05 9.1847494742982659e-08 8.7444555109905980e-58 -8.9365959098277304e-33
7.7554686981326287e-05 8.5403060693981617e-08 8.2370232324406829e-58 -8.3619654065756980e-33
8.6217955483272002e-05 7.9385987277779346e-08 7.7308517023788094e-58 -7.8087263939367477e-33
9.5848956872269294e-05 7.3771527757808666e-08 7.2628324582019228e-58 -7.2944633033850791e-33
1.0655579202738790e-04 6.8532490570030090e-08 6.8431824055466900e-58 -6.8228710131792470e-33
1.1845863726732842e-04 6.3643176989844052e-08 6.4020168612051489e-58 -6.3578469960190786e-33
1.3169109324086048e-04 5.9081428715787431e-08 6.0388031148379958e-58 -5.9477667226493107e-33
1.4640168449545551e-04 5.4826105584992791e-08 5.6733802283738095e-58 -5.5518221214917906e-33
1.6275552655566105e-04 5.0857480826952580e-08 5.3218324711558497e-58 -5.1771015292761988e-33
1.8093617922294294e-04 4.7157072399057113e-08 4.9892438148589382e-58 -4.8252098645499909e-33
2.0114770689891629e-04 4.3707513484011200e-08 4.6711947071843856e-58 -4.4931641760709659e-33
2.2361696905757336e-04 4.0492536736617645e-08 4.4273242521356366e-58 -4.2086253382803092e-33
2.4859616657536512e-04 3.7496963574567243e-08 4.1415395520603923e-58 -3.9153340305032300e-33
2.7636567249981521e-04 3.4706493750583524e-08 3.8968673886484471e-58 -3.6521234370233488e-33
3.0723717902995186e-04 3.2107842445096234e-08 3.6467051663567183e-58 -3.3963609043940950e-33
3.4155719603108745e-04 2.9688454653200154e-08 3.4379004781447532e-58 -3.1692451475521273e-33
3.7971094035219494e-04 2.7436645842507001e-08 3.2358108268091458e-58 -2.9539965980094673e-33
