# k_modes  P_R(k)  P_S(k)  P_RS(k)  P_T(k)  beta_iso  cosDelta
3.5094268606179046e-03 1.2728045287895320e-08 7.9566629237393238e-59 -8.9802364159558010e-34 1.0266410349909402e-11 6.2512842653901490e-51 -8.9236275210905935e-01
3.9014483923248684e-03 1.2026693180835235e-08 7.5079798534364456e-59 -8.4222741856861173e-34 1.0265855292719003e-11 6.2427632771080870e-51 -8.8632849241379952e-01
4.3372608014102584e-03 1.1368226804309946e-08 7.0364230548545712e-59 -7.8707014591758644e-34 1.0265204880907028e-11 6.1895519644162159e-51 -8.8001708427233394e-01
4.8217557603626249e-03 1.0750215703705759e-08 6.5867874261407447e-59 -7.3489785952216139e-34 1.0264559372936871e-11 6.1271211738292670e-51 -8.7333641551026164e-01
5.3603713673456461e-03 1.0170144548657749e-08 6.1971864766122085e-59 -6.8766384317864967e-34 1.0263923943480421e-11 6.0935087470611318e-51 -8.6619434687813701e-01
5.9591531848345002e-03 9.6256603564083962e-09 5.8257477819462797e-59 -6.4317533193423933e-34 1.0263293796946539e-11 6.0523097286179643e-51 -8.5889143785918043e-01
6.6248220965906294e-03 9.1145555428258831e-09 5.4434089637075578e-59 -5.9943960839143158e-34 1.0262669273506371e-11 5.9722154724177368e-51 -8.5102477984501845e-01
7.3648497446192600e-03 8.6347594517593746e-09 5.1677633418282077e-59 -5.6330138339133746e-34 1.0262049232600350e-11 5.9848376445220497e-51 -8.4326560673683915e-01
8.1875423928338860e-03 8.1843288754882095e-09 4.7946521209692876e-59 -5.2268302958664444e-34 1.0261437208850061e-11 5.8583326671159432e-51 -8.3438850496030659e-01
9.1021341587353144e-03 7.7614362733391707e-09 4.5420322523403988e-59 -4.9022812815599310e-34 1.0260826142455677e-11 5.8520512085404256e-51 -8.2566157099410586e-01
1.0118890659562176e-02 7.3643713887476776e-09 4.2498292000451189e-59 -4.5662243275678558e-34 1.0260223243279261e-11 5.7707969570065482e-51 -8.1621329469849380e-01
1.1249224236264331e-02 6.9915345724953665e-09 3.9653982109556576e-59 -4.2462974434400892e-34 1.0259623997592961e-11 5.6717136557623537e-51 -8.0645614281862066e-01
1.2505822048603120e-02 6.6414167082047898e-09 3.7274327241212520e-59 -3.9613807388348131e-34 1.0259028167746310e-11 5.6124060390855931e-51 -7.9618009098876097e-01
1.3902788479151530e-02 6.3126074016504013e-09 3.5231467399360774e-59 -3.7055368618098186e-34 1.0258437844815124e-11 5.5811276003240237e-51 -7.8574455791518694e-01
1.5455803444573901e-02 6.0037766273416134e-09 3.3002534900112589e-59 -3.4492684366344013e-34 1.0257853367487401e-11 5.4969624868814681e-51 -7.7489182990555616e-01
1.7182298391112499e-02 5.7136861293269333e-09 3.1213652212838411e-59 -3.2245077462187657e-34 1.0257274764572433e-11 5.4629623515065837e-51 -7.6354201768889618e-01
1.9101651949700135e-02 5.4411676263249198e-09 2.9197735540823957e-59 -2.9940928177569963e-34 1.0256699300256536e-11 5.3660790378084209e-51 -7.5118104648270112e-01
2.1235407446783299e-02 5.1851294275721372e-09 2.7669612767406529e-59 -2.7997409746113532e-34 1.0256132789905124e-11 5.3363398453030380e-51 -7.3915668993345873e-01
