# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700746697524848e-02 1.0000000000000000e-03 4.0384587558638888e-04 7.1482978536474690e-06 1.0000000000000000e+00 7.1482978536474690e-06 1.2325750000158038e-04 1.1223396747863018e-07 0.0000000000000000e+00 1.2325750000219499e-04 -6.2889051033975361e-11
1.0010010010010011e-01 5.6984282518134908e+00 -1.5703654194170056e-02 1.0404775168906309e-03 4.0562273428996614e-04 7.1482096464273638e-06 1.1052815513322825e+00 7.9007842472516229e-06 1.2330316195134999e-04 1.1225336950677543e-07 2.6347281875430660e-04 -3.2106266829177387e-03 -6.2889536042083168e-11
2.0020020020020021e-01 5.6968559745156311e+00 -1.5711093750590210e-02 1.0813319210113178e-03 4.1119332030071148e-04 7.1481213808866794e-06 1.2216473077154968e+00 8.7324832401837918e-06 1.2342004057541315e-04 1.1230517248199448e-07 4.6107580176718766e-04 -5.6821808345614453e-03 -6.2890019529246137e-11
3.0030030030030030e-01 5.6952827757461666e+00 -1.5721900505109750e-02 1.1228937093601440e-03 4.1962864979495961e-04 7.1480330129253436e-06 1.3502642314526905e+00 9.6517333025960979e-06 1.2358991943833565e-04 1.1238104665569145e-07 6.1184644775168228e-04 -7.5143630028595698e-03 -6.2890499989359310e-11
4.0040040040040042e-01 5.6937083635674730e+00 -1.5735211895352749e-02 1.1654150653470404e-03 4.3027062900941504e-04 7.1479445096606342e-06 1.4924221444485217e+00 1.0667750673506760e-05 1.2379933275892690e-04 1.1247482417168510e-07 7.2950431839125657e-04 -8.8730313429208601e-03 -6.2890977107763091e-11
5.0050050050050054e-01 5.6921325209230957e+00 -1.5750390798410362e-02 1.2090921772069277e-03 4.4265703975898603e-04 7.1478558465633183e-06 1.6495466630587137e+00 1.1790721759723239e-05 1.2403834417121866e-04 1.1258194934056313e-07 8.2387189574826929e-04 -9.8810768173826242e-03 -6.2891451035248498e-11
6.0060060060060061e-01 5.6905550857323313e+00 -1.5766965629781495e-02 1.2540823882979920e-03 4.5646396312243456e-04 7.1477670052320235e-06 1.8232134947405245e+00 1.3031905261200090e-05 1.2429960238365568e-04 1.1269905023983760e-07 9.0199886583826512e-04 -1.0629644391928844e-02 -6.2891922059502914e-11
7.0070070070070078e-01 5.6889759364922972e+00 -1.5784587013887755e-02 1.3005160768455211e-03 4.7146598647206990e-04 7.1476779717870562e-06 2.0151642398767593e+00 1.4403745046900120e-05 1.2457766157207084e-04 1.1282362884524839e-07 9.6895184022210566e-04 -1.1186341843924981e-02 -6.2892390460865823e-11
8.0080080080080085e-01 5.6873949820303649e+00 -1.5802996943072339e-02 1.3485046520698826e-03 4.8750951672257034e-04 7.1475887357289196e-06 2.2273238572403238e+00 1.5919994912831226e-05 1.2486849955973582e-04 1.1295384048122764e-07 1.0283499841633084e-03 -1.1601131026827293e-02 -6.2892856450849968e-11
9.0090090090090091e-01 5.6858121534187394e+00 -1.5822004443808508e-02 1.3981468964139251e-03 5.0449168091508130e-04 7.1474992890375473e-06 2.4618199682499884e+00 1.7595856472805228e-05 1.2516913830653941e-04 1.1308831981099013e-07 1.0827933360234869e-03 -1.1911004205241741e-02 -6.2893320161339994e-11
