# k_modes  P_R(k)  P_S(k)  P_RS(k)  P_T(k)  beta_iso  cosDelta
4.6964647396756300e-05 4.8176732625387774e-08 3.3755320624753952e-89 -9.9392037221138004e-49 8.2318227873539505e-12 7.0065607992198815e-82 -7.7940251406122352e-01
5.2565526452484121e-05 4.8861762462010509e-08 1.5790362205283597e-89 -8.2455345991085408e-49 8.0778326207243030e-12 3.2316399183431895e-82 -9.3872461993970668e-01
5.8834351461939311e-05 4.9893260988363074e-08 4.4988967646906088e-89 -1.4975947028427585e-48 7.9295434605593872e-12 9.0170429343953189e-82 -9.9958639487931511e-01
6.5850779884720674e-05 5.1367884831994966e-08 1.2999489094376058e-89 -7.6751053656484889e-49 7.7920554401068605e-12 2.5306646627347997e-82 -9.3923736760794574e-01
7.3703968917396235e-05 5.3402522298445513e-08 7.5225421462914829e-90 3.9870726219215475e-49 7.6692526660898950e-12 1.4086492215200958e-82 6.2905837147799426e-01
8.2493708406890844e-05 5.6122878437368129e-08 3.9133285547185271e-77 1.3931388255416564e-42 7.5647696838561241e-12 6.9727866133696508e-70 9.4005068738252506e-01
9.2331688872116110e-05 5.9674911402756071e-08 4.2262207491808482e-89 -1.5411451277193788e-48 7.4814151772576391e-12 7.0820729345660343e-82 -9.7044640874043964e-01
1.0334292074648837e-04 6.4222235939255019e-08 7.1592486930519139e-89 -2.1326762839385661e-48 7.4207116634048342e-12 1.1147616691239981e-81 -9.9460011281150973e-01
1.1566732287554022e-04 6.9939530203380372e-08 5.0204612082201064e-86 5.5111770293406432e-47 7.3825395834284384e-12 7.1782884351966292e-79 9.3006049620874809e-01
1.2946150045453490e-04 7.7040016522930929e-08 7.6435956948808950e-89 -2.3134003062570488e-48 7.3651120666207423e-12 9.9215914531972903e-82 -9.5333107921365678e-01
1.4490073499819696e-04 8.5718968655260153e-08 5.5255452027546980e-87 -1.0069641459383285e-47 7.3652639576124308e-12 6.4461172240382787e-80 -4.6268771731241676e-01
1.6218121162894498e-04 9.6057854201241991e-08 6.5755271011214243e-89 -2.4946926753995286e-48 7.3781528602390949e-12 6.8453820416867119e-82 -9.9262526610799962e-01
1.8152251198560163e-04 1.0806300600494822e-07 8.0495788585907916e-90 -3.1370041414830937e-49 7.3987903111843571e-12 7.4489681123826971e-83 -3.3634888340860414e-01
2.0317040442976970e-04 1.2156059027089523e-07 2.2828008973502522e-89 -1.4932377087582338e-48 7.4223167646512039e-12 1.8779119879749501e-82 -8.9639315434512412e-01
