# k_modes P_R(k) P_S(k) P_RS(k) 
4.5684554175445461e-05 1.0374674254570037e-08 7.7677853054485372e-88 -2.9716566323199092e-49
5.0788474958229744e-05 6.2156431688240628e-09 1.1494294086536450e-87 -6.0636344401099478e-49
5.6462610506750848e-05 9.3738861047282159e-09 3.7680135828203785e-87 3.8782553824095699e-48
6.2770665743734009e-05 4.1959902878449260e-09 6.0825371804018832e-87 -8.8550120712031696e-49
6.9783462764983091e-05 3.5319742517270153e-09 5.0268059823723424e-85 3.1976323940580885e-47
7.7579735976559804e-05 3.6689667816456474e-09 3.3353717641216911e-87 2.6738303030305157e-48
8.6247016065428667e-05 2.8691143912172477e-09 1.0017921199162519e-86 5.0378315303984352e-48
9.5882612728120169e-05 2.7943150774393602e-09 3.1427932417921435e-87 2.3238818437640632e-48
1.0659470719075465e-04 3.1348526761210769e-09 2.3816175779520907e-86 8.2570928686716350e-48
1.1850356678641466e-04 2.3089223953593123e-09 1.9537576397438430e-87 1.8480635115330293e-48
1.3174289522622986e-04 2.0603251693972486e-09 9.7087747970911334e-87 4.1075110592449296e-48
1.4646133372399982e-04 2.1337799873097098e-09 6.5396456763759990e-87 2.5419239534820101e-48
1.6282412982785254e-04 2.2192707191141386e-09 1.7827450000164745e-84 1.3054163787106867e-47
1.8101499269532515e-04 2.2933713532796643e-09 2.1797434298615704e-86 3.6962844835473586e-48
2.0123815564149648e-04 2.5547661038728702e-09 2.9199698640857624e-86 5.3188334183378063e-48
2.2372066911691241e-04 3.0648507168071921e-09 2.1629545260599529e-86 -1.7350821536728149e-48
2.4871494985913208e-04 3.5919935632955131e-09 2.0847793548981870e-86 -4.1939806759880745e-48
2.7650161483784965e-04 3.3386290896055758e-09 5.9817930302692777e-86 -6.2514479934252963e-48
3.0739263181099678e-04 7.1478728020915960e-10 7.1807601674233960e-85 -1.0198528805073099e-48
3.4173482186389129e-04 6.2009077533480337e-12 2.9585744657495847e-86 1.3617558824667100e-49
3.7991375325531728e-04 7.5989155458192025e-11 8.7078618756764292e-85 -4.8692506026488514e-48
4.2235807028769440e-04 1.5173591311740241e-10 9.4690393299973128e-84 1.1897934430477433e-47
4.6954430580264413e-04 1.6061137123223915e-10 2.1722484570096672e-84 -5.4105347513355963e-48
5.2200223133302482e-04 1.1669292293591713e-10 2.2284540323979035e-84 -1.0976878599246998e-47
5.8032080497891539e-04 4.8553083662451166e-11 4.6637349893471417e-84 -1.3928115553373939e-47
6.4515478378582736e-04 1.5028686099236980e-12 6.4014351984906226e-84 -2.6290918436200829e-48
7.1723207486393552e-04 4.2966481380654797e-11 3.4958155783914811e-84 -9.4831657831810343e-48
7.9736190778118704e-04 2.4248659957984401e-10 1.6902314874004430e-83 6.3483530905651467e-47
8.8644391998373448e-04 6.1683229514772217e-10 8.0543534136929229e-84 3.9586754043836727e-47
9.8547825724798065e-04 1.0942397637290817e-09 2.0918466993793324e-83 1.0343216274407709e-46
1.0955768025644956e-03 1.5593494288106116e-09 2.1636776294795048e-83 7.4086835396510069e-47
1.2179756595232601e-03 1.9308200838358649e-09 2.3560371682977153e-82 -2.8099925278010846e-46
1.3540490303543037e-03 2.1854795301731971e-09 1.7498369274159262e-83 2.6711166433248710e-47
1.5053246444358950e-03 2.3354256262462761e-09 8.2136460678700037e-83 4.2807090951257043e-46
1.6735009104900200e-03 2.4029122150084542e-09 3.7615409332319927e-83 -6.8490994756740018e-47
1.8604659850370178e-03 2.4087954051978764e-09 5.5639553908817114e-83 -2.5558749951693413e-46
2.0683189711956855e-03 2.3700228501286135e-09 1.4331178119120726e-79 1.3996330995085754e-44
2.2993934858329917e-03 2.3004658753722478e-09 3.5135222864573280e-83 -2.6521775190773759e-46
2.5562838596576228e-03 2.2118972704783286e-09 4.0915030068684689e-83 -3.0030960615785511e-46
2.8418742644123083e-03 2.1144647045326718e-09 2.7270255399353156e-79 -1.8969425669343301e-44
3.1593710941830535e-03 2.0166333336983986e-09 2.3060004092569312e-82 -6.6946398923984345e-46
3.5123389643783574e-03 1.9249155140720837e-09 2.0483291550124564e-81 4.6912882019633722e-46
3.9047407325477216e-03 1.8438151785235500e-09 7.5402513751500701e-79 -2.9670779375959237e-44
4.3409819903631819e-03 1.7757337493831427e-09 7.7149521918498362e-82 -2.2235262598907614e-46
4.8259605262862834e-03 1.7214023188252675e-09 1.2181479081965539e-81 -1.5494493484283497e-46
5.3651213142501116e-03 1.6803798348510671e-09 2.9197863502794367e-81 1.4213743778776890e-46
5.9645176457279016e-03 1.6513649759356249e-09 1.8043795973270426e-81 1.5163428671652156e-45
6.6308790915330668e-03 1.6325644743069279e-09 4.2036163076494757e-81 1.9205093166996439e-45
7.3716870563746264e-03 1.6219658127368626e-09 4.9205553202727333e-81 2.0739763390643344e-45
8.1952587744376030e-03 1.6175558182706252e-09 8.0256772545245477e-81 2.0407393736590048e-45
9.1108406890276650e-03 1.6174407707455189e-09 2.5398295575582179e-80 6.3809983461272646e-45
