# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745144058080e-02 1.0000000000000000e-04 8.0769176277475905e-05 7.1482978594656053e-06 1.0000000000000000e+00 7.1482978594656053e-06 1.2325673010219905e-04 1.1223361704771061e-07 0.0000000000000000e+00 1.2325673010305616e-04 -1.2479422224256796e-10
1.0010010010010011e-01 5.6984282576818206e+00 -1.5703543833351347e-02 1.0811072099215496e-04 8.1570149756544832e-05 7.1482096534391897e-06 1.1052815513322825e+00 7.9007842550016644e-06 1.2330067618568989e-04 1.1225223807211889e-07 1.0557975167218606e-04 -3.2307883326164418e-03 -1.2479394376128784e-10
2.0020020020020021e-01 5.6968559957068505e+00 -1.5710901849672086e-02 1.1638039221413235e-04 8.3875980455599527e-05 7.1481213901641678e-06 1.2216473077154968e+00 8.7324832515176093e-06 1.2341625204962555e-04 1.1230344886942630e-07 1.8587412957989883e-04 -5.7174162522986970e-03 -1.2479366545415791e-10
3.0030030030030030e-01 5.6952828193495897e+00 -1.5721646425557231e-02 1.2494132484450248e-04 8.7343375743873116e-05 7.1480330252847757e-06 1.3502642314526905e+00 9.6517333192845985e-06 1.2358511963067866e-04 1.1237886446981668e-07 2.4907836506353855e-04 -7.5610296850060175e-03 -1.2479338670263716e-10
4.0040040040040042e-01 5.6937084351207794e+00 -1.5734909735198001e-02 1.3389757572616312e-04 9.1742548723950111e-05 7.1479445257523925e-06 1.4924221444485217e+00 1.0667750697522457e-05 1.2379373247050900e-04 1.1247228024335808e-07 3.0094358710280048e-04 -8.9284576263799331e-03 -1.2479310715065514e-10
5.0050050050050054e-01 5.6921326247728361e+00 -1.5750050619884444e-02 1.4333425563299072e-04 9.6923698535739201e-05 7.1478558669110496e-06 1.6495466630587137e+00 1.1790721793287771e-05 1.2403209228388805e-04 1.1257911220853972e-07 3.4549145661827364e-04 -9.9433439801283659e-03 -1.2479282656930693e-10
6.0060060060060061e-01 5.6905552252066824e+00 -1.5766594082702996e-02 1.5332457687435835e-04 1.0279183854986874e-04 7.1477670302511559e-06 1.8232134947405245e+00 1.3031905306815310e-05 1.2429279518537354e-04 1.1269596441042780e-07 3.8556486140567847e-04 -1.0697476152356469e-02 -1.2479254479108763e-10
7.0070070070070078e-01 5.6889761144978506e+00 -1.5784189207876748e-02 1.6393423842635463e-04 1.0929145149017613e-04 7.1476780018512989e-06 2.0151642398767593e+00 1.4403745107484507e-05 1.2457037186442739e-04 1.1282032804018378e-07 4.2316821333072491e-04 -1.1258749846295948e-02 -1.2479226167433268e-10
8.0080080080080085e-01 5.6873952010006725e+00 -1.5802576349343608e-02 1.7522487175395117e-04 1.1639464585016808e-04 7.1475887711640203e-06 2.2273238572403238e+00 1.5919994991756672e-05 1.2486077481414670e-04 1.1295034683651260e-07 4.5973448618300575e-04 -1.1677436391107059e-02 -1.2479197708558700e-10
9.0090090090090091e-01 5.6858124155683658e+00 -1.5821563701890032e-02 1.8725633693247781e-04 1.2409359015027008e-04 7.1474993301496644e-06 2.4618199682499884e+00 1.7595856574015860e-05 1.2516101316529008e-04 1.1308464957331432e-07 4.9629823250305766e-04 -1.1990684325119993e-02 -1.2479169088891095e-10
