# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745140887436e-02 1.0000000000000000e-04 7.2692258648967249e-05 7.1482978594722596e-06 1.0000000000000000e+00 7.1482978594722596e-06 1.2325672415047277e-04 1.1223361433808972e-07 1.5667672047107206e-19 1.2325672415074488e-04 -1.1241327001239269e-10
1.0010010010010011e-01 5.6984282578253742e+00 -1.5703541093508393e-02 1.0729690845197662e-04 7.3332863012958672e-05 7.1482096534662237e-06 1.1052815513322825e+00 7.9007842550315443e-06 1.2330062707697619e-04 1.1225221571746366e-07 8.5485121843918119e-05 -3.2312966333369014e-03 -1.1241314443678242e-10
2.0020020020020021e-01 5.6968559962351284e+00 -1.5710896970440195e-02 1.1472179387346865e-04 7.5192754908008061e-05 7.1481213902389142e-06 1.2216473077154968e+00 8.7324832516089228e-06 1.2341616879877639e-04 1.1230341099136137e-07 1.5031749901163796e-04 -5.7183207954584628e-03 -1.1241301947713522e-10
3.0030030030030030e-01 5.6952828204633938e+00 -1.5721639783300149e-02 1.2238166355184630e-04 7.7989704949560818e-05 7.1480330254302866e-06 1.3502642314526905e+00 9.6517333194810763e-06 1.2358500781143529e-04 1.1237881362922160e-07 2.0103913661680294e-04 -7.5622586205106373e-03 -1.1241289463775743e-10
4.0040040040040042e-01 5.6937084369721553e+00 -1.5734901478729718e-02 1.3036017736342944e-04 8.1532423011716046e-05 7.1479445259864785e-06 1.4924221444485217e+00 1.0667750697871812e-05 1.2379359408839740e-04 1.1247221737971654e-07 2.4226227541408700e-04 -8.9299815725275757e-03 -1.1241276962228477e-10
5.0050050050050054e-01 5.6921326275291433e+00 -1.5750040874989685e-02 1.3872509322884416e-04 8.5694042001544519e-05 7.1478558672534897e-06 1.6495466630587137e+00 1.1790721793852642e-05 1.2403192897370507e-04 1.1257903809345075e-07 2.7722299176825089e-04 -9.9451371819542778e-03 -1.1241264423807286e-10
6.0060060060060061e-01 5.6905552290118591e+00 -1.5766582841743249e-02 1.4753398065332104e-04 9.0391889434114503e-05 7.1477670307193423e-06 1.8232134947405245e+00 1.3031905307668914e-05 1.2429260645929481e-04 1.1269587885236886e-07 3.0821504691335805e-04 -1.0699537876076540e-02 -1.1241251834780353e-10
7.0070070070070078e-01 5.6889761195090811e+00 -1.5784176443236667e-02 1.5683773807788034e-04 9.5575227255119513e-05 7.1476780024643941e-06 2.0151642398767593e+00 1.4403745108719995e-05 1.2457015688403716e-04 1.1282023069038380e-07 3.3685610777708870e-04 -1.1261082663022870e-02 -1.1241239184265911e-10
8.0080080080080085e-01 5.6873952073642071e+00 -1.5802561941030413e-02 1.6668339790576678e-04 1.0121559570065117e-04 7.1475887719402506e-06 2.2273238572403238e+00 1.5919994993485588e-05 1.2486053123505187e-04 1.1295023666674270e-07 3.6430086021659237e-04 -1.1680060054899940e-02 -1.1241226462827958e-10
9.0090090090090091e-01 5.6858124234626217e+00 -1.5821547566013800e-02 1.7711595351951838e-04 1.0730072390951703e-04 7.1474993311112374e-06 2.4618199682499884e+00 1.7595856576383080e-05 1.2516073915265984e-04 1.1308452578963733e-07 3.9137698063499473e-04 -1.1993611124913045e-02 -1.1241213661610289e-10
