# k_modes  P_R(k)  P_S(k)  P_RS(k)  P_T(k)  beta_iso  cosDelta
4.9988233523966640e-05 1.7101462812711537e-08 1.9077063086820135e-87 -5.6589910045727001e-48 1.0197277369828997e-11 1.1155222974633570e-79 -9.9075578184547219e-01
5.6066297893094010e-05 1.6992165079875978e-08 2.7910250343472783e-87 -6.8512010398139073e-48 1.0182070683719367e-11 1.6425364403107890e-79 -9.9485660181360092e-01
6.2883393507595230e-05 1.6891173813418343e-08 7.9463834236833153e-83 5.5464810953918522e-46 1.0164926889440947e-11 4.7044589745271057e-75 4.7874347007213325e-01
7.0529379103487143e-05 1.6778748955683207e-08 2.2770899043272217e-87 -6.1587032897610221e-48 1.0145294759852836e-11 1.3571273462291943e-79 -9.9636715899127815e-01
7.9105039331609823e-05 1.6666225412251363e-08 3.1096919777485400e-84 1.9433018910529571e-46 1.0122926093490997e-11 1.8658645859083375e-76 8.5361681398646538e-01
8.8723413238528476e-05 1.6557021507009399e-08 1.6231253968417949e-87 -5.0065963749237426e-48 1.0097769923314929e-11 9.8032450833904302e-80 -9.6577384018660473e-01
9.9511284277298333e-05 1.6450522578426103e-08 1.6056821719448528e-87 -4.2729771094541283e-48 1.0069510051455929e-11 9.7606757736110514e-80 -8.3140173083464608e-01
1.1161085148848946e-04 1.6346220783656834e-08 6.2614203308736624e-88 -2.6323638625570053e-48 1.0037792672914643e-11 3.8305002812233594e-80 -8.2281236650311929e-01
1.2518160387994793e-04 1.6243215236954364e-08 8.9092379310794292e-88 1.0397230198834525e-48 1.0002237326821285e-11 5.4848980334942168e-80 2.7331368727110128e-01
1.4040242271220644e-04 1.6132057025872711e-08 9.8509498801081624e-88 -3.6543605085855732e-48 9.9623438202700911e-12 6.1064437500494432e-80 -9.1670048259052550e-01
1.5747393940057037e-04 1.6006830145656379e-08 1.4099953622089626e-87 -4.7251559606537561e-48 9.9173068435371531e-12 8.8087107152291455e-80 -9.9461415866497471e-01
1.7662118011428421e-04 1.5881516728218210e-08 9.0847669166784398e-88 -4.3602588154962686e-49 9.8671437564661464e-12 5.7203396074486169e-80 -1.1479140882232504e-01
1.9809653193225089e-04 1.5756284189591236e-08 2.7119322283726460e-87 -6.3811291510247618e-48 9.8113981077063721e-12 1.7211749900805777e-79 -9.7618294505866987e-01
2.2218306965332988e-04 1.5631203699134680e-08 1.7157243015858447e-87 -5.1400709669297362e-48 9.7495852654364180e-12 1.0976277544645040e-79 -9.9254259249369903e-01
2.4919828711317038e-04 1.5506375472463378e-08 1.9569434468626383e-85 3.6507238860536488e-47 9.6812037008388735e-12 1.2620250621028937e-77 6.6272705701810253e-01
2.7949828219149108e-04 1.5373380311290193e-08 4.3937214345431356e-86 1.6744500810264307e-47 9.6057766206121158e-12 2.8580060764621764e-78 6.4427497073092099e-01
3.1348245067397851e-04 1.5230297308846808e-08 1.3808054957782756e-87 -4.4311257695300188e-48 9.5231589628111336e-12 9.0661755826408496e-80 -9.6625917958370844e-01
3.5159875084039106e-04 1.5090876826291532e-08 1.0515954083780760e-87 -2.1707711364917431e-48 9.4331181339846947e-12 6.9684182071247974e-80 -5.4491963948503153e-01
3.9434960817340920e-04 1.4957416399718352e-08 7.2669416614730453e-88 -3.2916966425298779e-48 9.3355843088463886e-12 4.8584203764026265e-80 -9.9842552554787301e-01
4.4229853802044936e-04 1.4832895570535454e-08 4.7114761214432716e-88 -2.4914513552990651e-48 9.2308463151761816e-12 3.1763697782665586e-80 -9.4245569996304202e-01
4.9607757350427612e-04 1.4720866888167562e-08 5.5593058208540465e-88 -2.8321568034603554e-48 9.1196750035940203e-12 3.7764799200260022e-80 -9.9001168141362828e-01
5.5639559659252777e-04 1.4609049392495537e-08 3.0450803963865896e-87 5.5721930444222853e-48 9.0036527590508195e-12 2.0843795613086260e-79 8.3544101651047398e-01
6.2404768214116026e-04 1.4521953308017484e-08 7.5039019047202878e-88 -3.2409221705681890e-48 8.8836811013436368e-12 5.1672813880880808e-80 -9.8177622232045958e-01
6.9992557807921482e-04 1.4466780408082646e-08 1.3973439246036198e-87 -4.3283632391502278e-48 8.7612896222791924e-12 9.6589834447401889e-80 -9.6268920010768333e-01
7.8502945987820856e-04 1.4452591994738304e-08 9.5310926475699788e-88 -3.5559490862648536e-48 8.6382639649605516e-12 6.5947289254688187e-80 -9.5810105271848411e-01
