# k_modes  P_R(k)  P_S(k)  P_RS(k)  P_T(k)  beta_iso  cosDelta
4.5675260886375869e-05 1.8301877085697685e-09 5.4065872624565536e-87 1.9534944905252707e-48 6.9130843245377340e-12 2.9541162565678160e-78 6.2101596498342149e-01
5.1124696091030879e-05 1.8897321390584611e-09 8.6229464212892377e-84 1.1820721916729396e-46 6.9129566294064696e-12 4.5630522141542917e-75 9.2601075809307232e-01
5.7224293844808531e-05 1.8879409029744690e-09 2.5179427453713313e-88 5.4289374480588669e-49 6.9126319909617603e-12 1.3336978617308881e-79 7.8740417754703385e-01
6.4051623900244280e-05 1.8787627688276654e-09 1.6446659787997198e-89 1.3353170565573941e-49 6.9123597071890571e-12 8.7539843033294702e-81 7.5964305108884178e-01
7.1693510720893561e-05 1.8750593394837230e-09 2.5985574706128897e-88 -3.6293798480517936e-50 6.9119404989765595e-12 1.3858534585515433e-79 -5.1994661147026527e-02
8.0247137644659565e-05 1.8689391724055349e-09 1.4706768222532824e-89 8.3390451149385218e-50 6.9115643645925729e-12 7.8690459484583221e-81 5.0299088613510601e-01
8.9821282782909752e-05 1.8607497662035433e-09 2.5804914998358313e-90 1.2021556479411361e-50 6.9111876380758264e-12 1.3868020013785976e-81 1.7348642520067192e-01
1.0053770237254504e-04 1.8539465721287607e-09 1.7903497233792480e-88 -4.5336126312559993e-50 6.9107986924815479e-12 9.6569650403868503e-80 -7.8691326403804926e-02
1.1253267917337795e-04 1.8476379385628973e-09 6.5233897655279281e-87 1.5149699117655364e-48 6.9104202905428486e-12 3.5306645470821277e-78 4.3637404157815946e-01
1.2595875560208350e-04 1.8415771344788743e-09 6.3153457600923720e-84 -6.2949276087945317e-48 6.9100606312322070e-12 3.4293137343277644e-75 -5.8371011167895205e-02
1.4098667364331952e-04 1.8357423438907559e-09 1.1738740177665499e-86 -3.5747790318002016e-50 6.9097485755777821e-12 6.3945467166083226e-78 -7.7007423658192568e-03
1.5780754620823737e-04 1.8299451368916086e-09 9.8030102989471172e-82 1.1551082588286599e-45 6.9094798776716113e-12 5.3569968308442074e-73 8.6243013819545500e-01
