# k_modes P_R(k) P_S(k) P_RS(k) 
4.5687042564690980e-05 1.6200755511775248e-09 1.9333805444452262e-83 -7.4158068102894840e-47
5.0790715046810445e-05 1.6120145810010507e-09 1.1512025142196601e-88 -5.4861938459217593e-50
5.6464515760974287e-05 1.6102979547247755e-09 3.7861076913987035e-78 7.3157820001237905e-44
6.2772133394517520e-05 1.6126602352945104e-09 2.3482106884031991e-86 -4.5985069973152920e-48
6.9784371260339171e-05 1.6170008462327603e-09 4.6319718706982519e-86 4.8219062302392145e-48
7.7579942067512579e-05 1.6215678464166300e-09 6.2931763547127598e-87 2.4733337073337940e-48
8.6246351475251058e-05 1.6250682866137561e-09 4.8352122027876895e-86 -6.0928815717134520e-48
9.5880880348162353e-05 1.6266930892749930e-09 1.1358029636242405e-84 1.7474037358780073e-47
1.0659167673865783e-04 1.6260425193070350e-09 5.0573200313508759e-83 2.8332411489966512e-46
1.1849896985406941e-04 1.6231503139266382e-09 4.2349483373594723e-87 -1.5859277864849553e-48
1.3173641963531483e-04 1.6182860501233186e-09 5.9969580272630283e-85 2.3219106599957325e-47
1.4645261709619634e-04 1.6118775815521897e-09 1.3828009606296616e-83 -1.4922938188987914e-46
1.6281275226471558e-04 1.6044055079536458e-09 2.6512725896999337e-84 2.7112653060267683e-47
1.8100046844912347e-04 1.5963556757862157e-09 3.1075246989419634e-86 7.0386871942742916e-48
2.0121992364293466e-04 1.5881332022003752e-09 3.1377008237698912e-83 1.1332693795858887e-46
2.2369808220827606e-04 1.5800689043238124e-09 8.8421383299676346e-86 -8.6638483551883215e-48
2.4868726256182383e-04 1.5723666822040537e-09 1.6367325853490762e-75 -5.7842243472439708e-43
2.7646796946123055e-04 1.5651411157448399e-09 3.2373955486202943e-83 -2.0308755853827499e-46
3.0735204268459153e-04 1.5584255499191873e-09 6.5442667668697837e-85 5.7683335171976011e-48
3.4168615744703063e-04 1.5521735791888345e-09 8.7832851794712095e-85 3.0376873911811561e-47
3.7985571584675249e-04 1.5463091022624998e-09 1.1387588846916487e-84 3.0855135144634566e-47
4.2228917302222622e-04 1.5407339098589959e-09 2.0058082646950734e-78 1.3475217041741337e-44
4.6946284658183098e-04 1.5353386750500202e-09 6.2614406794507255e-84 -4.3570412998633571e-47
5.2190626329204034e-04 1.5300295966961945e-09 3.1523670567927860e-83 -6.8703282708683301e-47
5.8020810304097530e-04 1.5247285061327232e-09 2.1710668100588439e-83 -5.7455168475559510e-47
