# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745112354732e-02 4.3096106713688222e-02 1.1334086439514536e-13 6.8882721748007814e-06 1.0000000000000000e+00 6.8882721748007814e-06 1.2325669854156549e-04 1.0815100568107246e-07 0.0000000000000000e+00 1.2325669854073638e-04 4.9523833789554496e-06
1.0010010010010011e-01 5.6984282686624885e+00 -1.5703402449980294e-02 4.3068792785843579e-02 -1.3318359809174935e-04 6.8881871781999170e-06 1.1052815513322825e+00 7.6133862101879418e-06 1.2329850882160734e-04 1.0816801247538459e-07 -3.8433842246123523e-01 -2.9054929487637195e-03 4.9525316403570939e-06
2.0020020020020021e-01 5.6968560282672334e+00 -1.5710636094229770e-02 4.3040919598315457e-02 -3.3398696256511115e-04 6.8881021276023556e-06 1.2216473077154968e+00 8.4148314194548025e-06 1.2341257574817899e-04 1.0821669931489963e-07 -3.9884748361460581e-01 -5.8943536884825901e-03 4.9524831337118077e-06
3.0030030030030030e-01 5.6952828814306296e+00 -1.5721292142121812e-02 4.3012608075826339e-02 -4.4375391924648494e-04 6.8880169799697873e-06 1.3502642314526905e+00 9.3006429536919867e-06 1.2358045456404003e-04 1.0828893952387819e-07 -1.2933847485979583e-01 -7.7468677201849856e-03 4.9522817354733376e-06
4.0040040040040042e-01 5.6937085327966228e+00 -1.5734507581088106e-02 4.2984256865248968e-02 -4.0902962806874723e-04 6.8879317032586170e-06 1.4924221444485217e+00 1.0279701803392184e-05 1.2378816514818368e-04 1.0837856400955134e-07 1.6087612079234800e-01 -8.8613859666354551e-03 4.9520669545822079e-06
5.0050050050050054e-01 5.6921327625154126e+00 -1.5749627025362891e-02 4.2956186482688945e-02 -2.9182505229590784e-04 6.8878462735426652e-06 1.6495466630587137e+00 1.1361823836183698e-05 1.2402578383641081e-04 1.0848118814459861e-07 2.6235935906534791e-01 -9.9931504722959846e-03 4.9519511743935826e-06
6.0060060060060061e-01 5.6905554066205637e+00 -1.5766155106453895e-02 4.2928431551196800e-02 -1.9605926903554119e-04 6.8877606728896277e-06 1.8232134947405245e+00 1.2557858207355445e-05 1.2428600786842142e-04 1.0859358349836378e-07 1.5288779623129498e-01 -1.0853019264406271e-02 4.9519476021791945e-06
7.0070070070070078e-01 5.6889763424818103e+00 -1.5783727094691703e-02 4.2900788590075754e-02 -1.8360810017735763e-04 6.8876748878028782e-06 2.0151642398767593e+00 1.3879796129797531e-05 1.2456318247295353e-04 1.0871325121001911e-07 -3.5578288865843820e-02 -1.1318993071906995e-02 4.9519867747708591e-06
8.0080080080080085e-01 5.6873954780154445e+00 -1.5802082863320268e-02 4.2873019428931465e-02 -2.4167126473032295e-04 6.8875889080678074e-06 2.2273238572403238e+00 1.5340891093803257e-05 1.2485319238600940e-04 1.0883837287269871e-07 -1.4983835277850632e-01 -1.1727656031720662e-02 4.9519868905840689e-06
9.0090090090090091e-01 5.6858127436974026e+00 -1.5821038820665698e-02 4.2845026717446687e-02 -3.1114414058315787e-04 6.8875027258946855e-06 2.4618199682499884e+00 1.6955791741983762e-05 1.2515310102424558e-04 1.0896765073907321e-07 -1.2880894570566814e-01 -1.2104669088597518e-02 4.9519145674439960e-06
1.0010010010010011e+00 5.6842280866711423e+00 -1.5840461197701640e-02 4.2816885118976848e-02 -3.4024112573537916e-04 6.8874163352875439e-06 2.7210041936081373e+00 1.8740688731442595e-05 1.2546066384086307e-04 1.0910009367371673e-07 -2.2575122812476520e-02 -1.2326291642434574e-02 4.9517958848600777e-06
1.1011011011011012e+00 5.6826414664102192e+00 -1.5860246654320845e-02 4.2788743479311261e-02 -3.1907374778729456e-04 6.8873297315782894e-06 3.0074757362928479e+00 2.0713477055570038e-05 1.2577420365380559e-04 1.0923496150180473e-07 7.1813887746367683e-02 -1.2480916359029922e-02 4.9516826907560134e-06
1.2012012012012012e+00 5.6810528515201568e+00 -1.5880312732966126e-02 4.2760700234468138e-02 -2.7574679436361894e-04 6.8872429110799957e-06 3.3241074474039571e+00 2.2893935452801123e-05 1.2609253394519214e-04 1.0937173038665745e-07 9.0941117789056891e-02 -1.2638557370617583e-02 4.9516093891922784e-06
1.3013013013013013e+00 5.6794622173679254e+00 -1.5900595502122080e-02 4.2732746749181240e-02 -2.4669473545726637e-04 6.8871558708306320e-06 3.6740746362618388e+00 2.5303924701000641e-05 1.2641476334243233e-04 1.0951000688926133e-07 4.0956428301685083e-02 -1.2750817353857783e-02 4.9515731899684562e-06
1.4014014014014016e+00 5.6778695443159561e+00 -1.5921049134249517e-02 4.2704800909349062e-02 -2.4882474241506831e-04 6.8870686084043991e-06 4.0608869136780772e+00 2.7967606785472510e-05 1.2674020294971313e-04 1.0964948711367797e-07 -2.4864897248765668e-02 -1.2820331301528759e-02 4.9515457104003221e-06
1.5015015015015016e+00 5.6762748164065115e+00 -1.5941643467468500e-02 4.2676783907922559e-02 -2.7265479961180602e-04 6.8869811217713987e-06 4.4884233877350690e+00 3.0911687137848644e-05 1.2706835912409777e-04 1.0978995304819999e-07 -5.5960779055035756e-02 -1.2888123488550222e-02 4.9514996262029127e-06
