# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745112354676e-02 1.0000000000000000e-04 3.9763330793829414e-13 7.1482978595654595e-06 1.0000000000000000e+00 7.1482978595654595e-06 1.2325669854156463e-04 1.1223360268022778e-07 -1.1673327760363798e-27 1.2325669854077552e-04 -9.8464697958525330e-13
1.0010010010010011e-01 5.6984282591148707e+00 -1.5703516534823828e-02 1.0000000003977998e-04 3.9719234624210468e-13 7.1482096537222741e-06 1.1052815513322825e+00 7.9007842553145533e-06 1.2330021577974270e-04 1.1225202849161505e-07 -1.2978078578478436e-16 -3.2359453322193176e-03 -9.8589725484265427e-13
2.0020020020020021e-01 5.6968560010129243e+00 -1.5710853932005473e-02 1.0000000007952179e-04 3.9686522705514162e-13 7.1481213909054495e-06 1.2216473077154968e+00 8.7324832524231942e-06 1.2341546563640591e-04 1.1230309106075890e-07 -2.2609037849306240e-16 -5.7264660639274002e-03 -9.8715073718619028e-13
3.0030030030030030e-01 5.6952828301673613e+00 -1.5721581603051458e-02 1.0000000011923527e-04 3.9662218316429499e-13 7.1480330266702268e-06 1.3502642314526905e+00 9.6517333211553233e-06 1.2358406405070302e-04 1.1237838453010184e-07 -2.9755372278129206e-16 -7.5732597800424956e-03 -9.8840743233679371e-13
4.0040040040040042e-01 5.6937084539544731e+00 -1.5734833918424583e-02 1.0000000015892767e-04 3.9644132558456030e-13 7.1479445280667101e-06 1.4924221444485217e+00 1.0667750700976396e-05 1.2379249922020235e-04 1.1247172000724164e-07 -3.5061910067813647e-16 -8.9427278108073511e-03 -9.8966734845718744e-13
5.0050050050050054e-01 5.6921326535862482e+00 -1.5749967751585787e-02 1.0000000019860436e-04 3.9630641028336952e-13 7.1478558703791065e-06 1.6495466630587137e+00 1.1790721799008493e-05 1.2403074208799613e-04 1.1257849945146249e-07 -3.9007337578578719e-16 -9.9588899884120279e-03 -9.9093049520550666e-13
6.0060060060060061e-01 5.6905552624822500e+00 -1.5766497321847893e-02 1.0000000023826937e-04 3.9620517982146068e-13 7.1477670347058597e-06 1.8232134947405245e+00 1.3031905314937187e-05 1.2429121889991838e-04 1.1269524980989750e-07 -4.1943638057723632e-16 -1.0715601672068429e-02 -9.9219688317693518e-13
7.0070070070070078e-01 5.6889761586376020e+00 -1.5784071204296552e-02 1.0000000027792565e-04 3.9612877819096947e-13 7.1476780071177813e-06 2.0151642398767593e+00 1.4403745118097334e-05 1.2456845189115181e-04 1.1281945860973070e-07 -4.4132274056840992e-16 -1.1280851151130087e-02 -9.9346652363719371e-13
8.0080080080080085e-01 5.6873952568389408e+00 -1.5802448880377185e-02 1.0000000031757518e-04 3.9607115527248891e-13 7.1475887777952405e-06 2.2273238572403238e+00 1.5919995006526548e-05 1.2485869530846707e-04 1.1294940627905468e-07 -4.5774886574875334e-16 -1.1701242420008466e-02 -9.9473942834454621e-13
9.0090090090090091e-01 5.6858124863793567e+00 -1.5821433597492551e-02 1.0000000035721960e-04 3.9602736223629879e-13 7.1474993385229087e-06 2.4618199682499884e+00 1.7595856594629281e-05 1.2515888053993304e-04 1.1308368617256287e-07 -4.7015965399326941e-16 -1.2014875723782313e-02 -9.9601560930552775e-13
