# k_modes P_R(k) P_S(k) P_RS(k) 
4.5669916093281155e-05 3.0964747086449163e-09 2.7840932355422580e-11 2.9358829553025314e-10
5.0775113619167928e-05 3.0853547208716761e-09 2.7790620724592879e-11 2.9279565164495336e-10
5.6450994080514584e-05 3.0742578593479092e-09 2.7740333373079919e-11 2.9200399839243658e-10
6.2761351093762750e-05 3.0631832072678160e-09 2.7690065493864552e-11 2.9121326762102598e-10
6.9777109425149883e-05 3.0521324497137490e-09 2.7639835122434815e-11 2.9042363492619401e-10
7.7577122144096222e-05 3.0411053905725504e-09 2.7589635478838172e-11 2.8963505597821732e-10
8.6249056886137965e-05 3.0301014431044733e-09 2.7539461474361090e-11 2.8884747684069778e-10
9.5890381186489754e-05 3.0191206286995041e-09 2.7489321312488533e-11 2.8806094220209690e-10
1.0660945795881662e-04 3.0081137394009454e-09 2.7438783404864378e-11 2.8727084270913728e-10
1.1852676343176340e-04 2.9971238125936855e-09 2.7388212086409701e-11 2.8648114196075067e-10
1.3177624123214470e-04 2.9861581172455736e-09 2.7337680346930339e-11 2.8569256990876890e-10
1.4650680783390765e-04 2.9752150173282605e-09 2.7287168257520683e-11 2.8490494480373555e-10
1.6288402629324416e-04 2.9642962070436024e-09 2.7236696881813233e-11 2.8411845842508855e-10
1.8109196708166792e-04 2.9533991495663050e-09 2.7186239983179573e-11 2.8333285300014161e-10
2.0133527693174473e-04 2.9425255852325625e-09 2.7135811134388863e-11 2.8254828342962463e-10
2.2384147894810637e-04 2.9316754425694251e-09 2.7085415345139789e-11 2.8176477305326009e-10
2.4886352983566709e-04 2.9208473073211604e-09 2.7035035984347305e-11 2.8098216806567143e-10
2.7668266298680959e-04 2.9100418699548011e-09 2.6984679679569357e-11 2.8020053682307720e-10
3.0761154938219821e-04 2.8992595603477363e-09 2.6934353399205710e-11 2.7941993687778594e-10
3.4199781183191688e-04 2.8885001597570802e-09 2.6884053473897310e-11 2.7864033933449251e-10
3.8022793205497228e-04 2.8777638769877495e-09 2.6833780615560964e-11 2.7786175863806443e-10
4.2273159451047788e-04 2.8670502778631877e-09 2.6783531914365494e-11 2.7708415946632061e-10
4.6998651580267096e-04 2.8563602258174814e-09 2.6733314582352304e-11 2.7630762155488639e-10
5.2252381393948374e-04 2.8456931858775736e-09 2.6683126609737328e-11 2.7553210933641852e-10
5.8093397779203403e-04 2.8350497103227491e-09 2.6632975715747885e-11 2.7475769006207539e-10
6.4587350384830741e-04 2.8243807416899644e-09 2.6582415650170813e-11 2.7397968420070588e-10
7.1807227485431091e-04 2.8137308622587768e-09 2.6531846431456371e-11 2.7320231699720311e-10
7.9834176327435707e-04 2.8031040275216005e-09 2.6481299743960193e-11 2.7242594445674002e-10
8.8758415177263446e-04 2.7925006261410070e-09 2.6430789299254813e-11 2.7165065669210430e-10
9.8680247322500492e-04 2.7819195235060085e-09 2.6380295183681913e-11 2.7087629686581081e-10
1.0971118842289021e-03 2.7713621503707309e-09 2.6329840053212942e-11 2.7010305167576444e-10
1.2197521988190653e-03 2.7608268751975271e-09 2.6279401926331675e-11 2.6933072952651606e-10
1.3561018232608356e-03 2.7503143416052458e-09 2.6228986274381217e-11 2.6855939060037045e-10
1.5076932485400308e-03 2.7398249831433550e-09 2.6178600551356643e-11 2.6778909496154961e-10
1.6762302746760418e-03 2.7293577049568474e-09 2.6128233968635043e-11 2.6701973462759707e-10
1.8636071604494666e-03 2.7189137425378143e-09 2.6077894523480654e-11 2.6625141162854322e-10
2.0719299137761621e-03 2.7084918065307830e-09 2.6027578682640905e-11 2.6548404552779569e-10
2.3035399620192111e-03 2.6980931257984757e-09 2.5977290895226949e-11 2.6471771993093085e-10
2.5610404682794336e-03 2.6877172685793656e-09 2.5927031994253825e-11 2.6395241864181941e-10
2.8473255894443388e-03 2.6773638384206600e-09 2.5876791082741504e-11 2.6318806744537198e-10
3.1656130048390838e-03 2.6670340287316070e-09 2.5826585538787093e-11 2.6242481416040910e-10
3.5194800810826737e-03 2.6567267068780390e-09 2.5776412781847031e-11 2.6166259060046831e-10
