# k_modes  P_R(k)  P_S(k)  P_RS(k)  P_T(k)  beta_iso  cosDelta
4.5674636721891429e-05 2.3935800390535726e-08 3.1927983691018322e-87 7.2490588059613283e-48 6.9565805104658499e-12 1.3339008167716307e-79 8.2922406853408392e-01
5.1124119618518121e-05 7.1177744932332413e-09 4.4428289604348902e-88 -1.3147129719954995e-48 7.0303922317269704e-12 6.2418793467798388e-80 -7.3931418462714749e-01
5.7223785329327967e-05 3.5112831595770794e-09 1.6160570549035686e-90 3.8098508901490659e-50 7.1034514367750739e-12 4.6024686174789061e-82 5.0576259530503065e-01
6.4051207763603143e-05 2.3728568176039220e-09 2.0186864844173118e-88 -2.6984398372783357e-49 7.1772623331604617e-12 8.5074095893226015e-80 -3.8989039429513433e-01
7.1693216245057579e-05 1.8266985034905957e-09 6.0875168758699653e-88 3.7192913938347399e-49 7.2459397953790852e-12 3.3325241490248504e-79 3.5270099074107902e-01
8.0246999783840410e-05 2.6693380248907257e-09 1.8390539157323884e-81 1.2399581982821742e-45 7.3030389494040775e-12 6.8895505124633793e-73 5.5963907103523147e-01
8.9821343100249457e-05 2.4331658730152187e-09 1.4771102538076976e-89 1.5864388163141346e-49 7.3419056675934843e-12 6.0707338952491497e-81 8.3681799885887964e-01
1.0053801011956796e-04 1.1916535094021660e-09 1.6161692692865720e-90 3.2176812438824257e-50 7.3644000937654731e-12 1.3562409345795313e-81 7.3320361664164413e-01
1.1253329253294462e-04 2.2784662696913760e-09 6.9887619977688445e-90 -5.3056392817001743e-50 7.3761672509729685e-12 3.0673098350126069e-81 -4.2045187417503804e-01
1.2595974311849361e-04 1.3891240485804806e-09 1.1554672079145781e-85 -5.4577327961911389e-48 7.3807618081013859e-12 8.3179555425257237e-77 -4.3078735018569769e-01
1.4098811586652971e-04 2.2067206723153798e-09 2.6730670838153248e-89 3.0939311250771661e-50 7.3811679152252497e-12 1.2113300597354878e-80 1.2738903001968130e-01
1.5780953758292926e-04 1.9275014701502130e-09 6.0634222750157222e-89 6.7647718632317167e-50 7.3809177335663538e-12 3.1457419716225643e-80 1.9787771583056604e-01
1.7663793858848267e-04 1.8924727927710460e-09 1.4891207500167646e-88 1.1930373336545247e-49 7.3815472429827403e-12 7.8686507711232418e-80 2.2473683187531124e-01
1.9771277342722337e-04 1.8900238972820293e-09 1.3464041786163686e-83 -7.1271756423975750e-48 7.3832662006563482e-12 7.1237415598426061e-75 -4.4678243279899776e-02
2.2130206618496716e-04 1.8961088170968269e-09 1.9654450054484484e-84 -3.4211613499724457e-48 7.3852844354524553e-12 1.0365676208698737e-75 -5.6041723094259858e-02
2.4770581914760676e-04 1.8869771534651534e-09 4.1706173512210791e-88 -2.5081428135011045e-50 7.3869815354273642e-12 2.2102108356544537e-79 -2.8272796529586412e-02
2.7725982814956170e-04 1.8743259313302602e-09 2.9780028480690106e-90 4.3997881325958603e-50 7.3881914360635684e-12 1.5888393786215403e-81 5.8890691346372814e-01
