# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745151983678e-02 1.0000000000000000e-04 1.0096147034888335e-04 7.1482978594522069e-06 1.0000000000000000e+00 7.1482978594522069e-06 1.2325674769949973e-04 1.1223362505926818e-07 0.0000000000000000e+00 1.2325674770055186e-04 -1.5574659419607628e-10
1.0010010010010011e-01 5.6984282573227079e+00 -1.5703550692735106e-02 1.1014792056849035e-04 1.0224160183404367e-04 7.1482096533728281e-06 1.1052815513322825e+00 7.9007842549283164e-06 1.2330080201790984e-04 1.1225229535186060e-07 1.6513469229124082e-04 -3.2295308140422988e-03 -1.5574593337902851e-10
2.0020020020020021e-01 5.6968559943822008e+00 -1.5710914114523043e-02 1.2054699108618810e-04 1.0587423389007061e-04 7.1481213899758537e-06 1.2216473077154968e+00 8.7324832512875568e-06 1.2341646466827925e-04 1.1230354560808045e-07 2.9159033017722285e-04 -5.7151707297168489e-03 -1.5574527129758458e-10
3.0030030030030030e-01 5.6952828165521181e+00 -1.5721663244741058e-02 1.3140499076324188e-04 1.1134238345803769e-04 7.1480330249157836e-06 1.3502642314526905e+00 9.6517333187863602e-06 1.2358540684810968e-04 1.1237899505813953e-07 3.9264285571184097e-04 -7.5579590304781404e-03 -1.5574460686742968e-10
4.0040040040040042e-01 5.6937084304477903e+00 -1.5734930816864376e-02 1.4288773008647431e-04 1.1831162157899830e-04 7.1479445251549090e-06 1.4924221444485217e+00 1.0667750696630760e-05 1.2379409089977410e-04 1.1247244306886956e-07 4.7751579994858309e-04 -8.9246217192331407e-03 -1.5574393950033366e-10
5.0050050050050054e-01 5.6921326177754814e+00 -1.5750075747432334e-02 1.5513409913920417e-04 1.2657465292701851e-04 7.1478558660311721e-06 1.6495466630587137e+00 1.1790721791836372e-05 1.2403251980234534e-04 1.1257930622904021e-07 5.5262080923282613e-04 -9.9387913117415135e-03 -1.5574326880860053e-10
6.0060060060060061e-01 5.6905552154884509e+00 -1.5766623396924462e-02 1.6826706977144453e-04 1.3601145950265447e-04 7.1477670290399174e-06 1.8232134947405245e+00 1.3031905304606965e-05 1.2429329543698055e-04 1.1269619119677181e-07 6.2247168397827699e-04 -1.0692189122354584e-02 -1.5574259446929842e-10
7.0070070070070078e-01 5.6889761016171541e+00 -1.5784222909540301e-02 1.8240081420559725e-04 1.4656440313490246e-04 7.1476780002535619e-06 2.0151642398767593e+00 1.4403745104264804e-05 1.2457094963773041e-04 1.1282058967356065e-07 6.9026574627100161e-04 -1.1252701779634729e-02 -1.5574191615446664e-10
8.0080080080080085e-01 5.6873951845282225e+00 -1.5802614875625794e-02 1.9764606198440917e-04 1.5822021959702610e-04 7.1475887691247987e-06 2.2273238572403238e+00 1.5919994987214664e-05 1.2486143888622081e-04 1.1295064719310752e-07 7.5831274052130316e-04 -1.1670557863875939e-02 -1.5574123349712780e-10
9.0090090090090091e-01 5.6858123949741488e+00 -1.5821607395512863e-02 2.1411394091111545e-04 1.7099798375184809e-04 7.1474993276011422e-06 2.4618199682499884e+00 1.7595856567741856e-05 1.2516177114091259e-04 1.1308499198424820e-07 8.2832811908378724e-04 -1.1982926832488897e-02 -1.5574054607114915e-10
