# k_modes P_R(k) P_S(k) P_RS(k) 
7.9722096457158565e-04 1.6132351017646629e-09 1.1907669423810678e-83 4.7419852175438691e-47
8.8628015350872866e-04 1.6098405656054640e-09 2.1432181263444263e-83 -8.5888876900315043e-47
9.8528832708955094e-04 1.6064710213733882e-09 9.7436669533980872e-84 1.1735358570728261e-47
1.0953569067925243e-03 1.6028489051861451e-09 1.1394739785222171e-82 2.9032476798936155e-46
1.2177214732688496e-03 1.5987975715608950e-09 1.5013168909883119e-83 -5.0319245650559701e-47
1.3537556364182667e-03 1.5942349017729075e-09 5.0216679476038288e-83 2.8247003672911195e-46
1.5049864549194912e-03 1.5891522956706938e-09 2.2912068990298307e-81 1.7099107018727150e-45
1.6731115783080155e-03 1.5835963204609707e-09 5.5964212956685067e-83 -2.2667223403478505e-46
1.8600183040305724e-03 1.5776454914719116e-09 4.3176447254926725e-82 7.0007804663527889e-46
2.0678047634022497e-03 1.5713980513011838e-09 4.9223959158054916e-83 2.1925302724487723e-46
2.2988034742903009e-03 1.5649532927842312e-09 2.1728107634342042e-82 5.1794747123977242e-46
2.5556075249165877e-03 1.5584093088257793e-09 4.3976187898786121e-82 1.3454519814841395e-46
2.8410996827062914e-03 1.5518392405961772e-09 1.6555394829053480e-83 1.5411850001999700e-46
3.1584847549457917e-03 1.5453055540062265e-09 1.0246771247337535e-80 -1.6981204643442453e-45
3.5113255645160281e-03 1.5388483618157831e-09 2.6216429877214501e-81 1.8379120347883995e-45
3.9035829445488051e-03 1.5324752402353787e-09 8.2903527529790030e-82 6.8382686863394132e-46
4.3396602009681713e-03 1.5261954735250193e-09 1.4336579541727067e-82 -4.6618589915374470e-46
4.8244525420335074e-03 1.5200271602995309e-09 1.3155547003883553e-81 -1.4079015136836997e-45
5.3634020297582009e-03 1.5139513715279790e-09 6.8605552904633503e-81 -2.6158119013120432e-45
5.9625586700640344e-03 1.5079543223781250e-09 1.5801458294998779e-82 -1.4922849617990827e-46
6.6286483274420179e-03 1.5020173976876496e-09 6.3179264324418307e-79 2.3963309709229267e-44
7.3691482264992090e-03 1.4961244197108744e-09 1.1676330101040654e-80 -1.3914764976281681e-45
8.1923708879382308e-03 1.4902586020520766e-09 4.9271372666775967e-83 5.4171985202650812e-47
9.1075574411971765e-03 1.4844081015604686e-09 1.9162708474923207e-81 -9.1982728649962869e-46
1.0124981361235874e-02 1.4785636982191488e-09 1.7421190900318041e-80 4.7067407095407855e-45
1.1256063793971358e-02 1.4727185513945240e-09 3.6371545356582188e-80 7.8689321092522442e-46
1.2513501764954138e-02 1.4668706723040686e-09 2.9246199149305829e-79 1.6129704597243840e-44
1.3911410710498735e-02 1.4610189624380018e-09 8.6422481500059482e-79 -5.6681307965839729e-45
1.5465482931259123e-02 1.4551654262574147e-09 1.3914215808462055e-77 -5.8261939843696140e-44
1.7193163746977925e-02 1.4493124510476685e-09 2.7577581510357319e-82 6.0058322071620262e-46
1.9113847329844055e-02 1.4434634830090350e-09 5.5935271036950829e-79 2.8413514285116416e-44
2.1249094414796291e-02 1.4376205662966097e-09 2.0600698004779345e-79 7.1851015633505931e-47
2.3622874330691344e-02 1.4317756663838662e-09 5.1153625269494799e-81 -1.3875551669813506e-45
2.6261834069270216e-02 1.4259260044487577e-09 7.3306104600131154e-79 2.7512091290907071e-44
2.9195597412370336e-02 1.4200894804103370e-09 1.0314607703979123e-79 -1.1011551041966769e-44
3.2457097475252272e-02 1.4142688924647424e-09 3.3389676603749463e-79 2.1276525889567500e-44
3.6082946399023520e-02 1.4084638519333021e-09 8.8266330871874187e-80 8.0693474494914659e-46
4.0113846342160787e-02 1.4026758823197871e-09 1.2755376093682261e-78 -3.7060724856271534e-44
4.4595046384738483e-02 1.3969040930427260e-09 9.0326736884404834e-78 9.7550951650525471e-44
4.9576850474365455e-02 1.3911487258127082e-09 2.1400490223324689e-78 -4.6254543631679815e-44
5.5115182115803983e-02 1.3854092688363826e-09 1.0813812702831542e-78 -1.4027987443899787e-44
6.1272212143224543e-02 1.3796843400450657e-09 2.2730576667422925e-78 4.2838181231754396e-44
6.8117056622185992e-02 1.3739734872491255e-09 1.3599477429355945e-78 1.4638034336529783e-44
7.5726552715677825e-02 1.3682769863192409e-09 7.2541348300727301e-78 3.3960035610711220e-44
8.4186121223749202e-02 1.3625935829344077e-09 3.1415461083022722e-78 5.8268703778287156e-44
9.3590725479208256e-02 1.3569242499921741e-09 5.4382328876481861e-78 5.1027513040876094e-44
1.0404593736352725e-01 1.3512680128916357e-09 1.9614661091682407e-77 1.5892129436724251e-43
1.1566912240957038e-01 1.3456242328201230e-09 9.7552841127430811e-77 2.9232536135765078e-43
1.2859075729457764e-01 1.3399935593908305e-09 2.0437187206979209e-77 1.1480097827657208e-43
1.4295589451299276e-01 1.3343710105464971e-09 5.1239714522327971e-77 1.2808070149138783e-43
1.5892579067089505e-01 1.3287380707414863e-09 7.6257991184497756e-78 -9.2970793488695023e-44
1.7667971668054280e-01 1.3231190239511904e-09 9.1152853191808753e-77 6.9657953049439631e-44
1.9641697017546197e-01 1.3175128479321010e-09 3.1443964001472405e-76 -9.2475982102362075e-45
2.1835911273654976e-01 1.3119198251536779e-09 1.1789078549184630e-76 -1.9132386793522891e-43
2.4275245704329634e-01 1.3063408120951380e-09 3.9286103580287501e-76 -3.2507384238866461e-43
2.6987083186976935e-01 1.3007751106836876e-09 4.1695156473721847e-76 -5.2959964983290246e-43
3.0001865596397048e-01 1.2952232913207777e-09 5.8003189522228124e-76 -7.5929892894627949e-43
3.3353435531656034e-01 1.2896844213378214e-09 1.2829831893549074e-76 -1.1310298108156632e-43
3.7079416217967814e-01 1.2841587469032817e-09 8.4403556570074408e-76 -1.0378358330132944e-42
4.1221633848194722e-01 1.2786469094423136e-09 1.0562702428144049e-75 -8.7124264742791256e-43
4.5826587104983363e-01 1.2731481311225935e-09 1.6946729312778315e-75 -9.3044970549856223e-43
5.0945969134180713e-01 1.2676634085276119e-09 1.5171700608073196e-75 -1.5709240323455603e-43
5.6637247828971549e-01 1.2621893017043264e-09 3.4210958912608940e-75 7.0244145170841901e-44
6.2964310938746604e-01 1.2567328004100793e-09 4.4208912599640142e-75 5.9246516935398246e-43
6.9998183244405643e-01 1.2512878662377433e-09 6.2951121779327822e-75 1.7004374078878793e-42
7.7817823850784074e-01 1.2458575188461103e-09 7.8837122445689197e-75 1.5517065394978061e-42
8.6511012546252686e-01 1.2404387167307605e-09 1.1951667162655952e-74 3.6122600287295928e-42
9.6175335179364330e-01 1.2350055536400406e-09 1.2874210222481388e-74 3.9752193931105084e-42
1.0691927911394830e+00 1.2295900845187064e-09 2.6264721114399570e-74 5.5990557294573205e-42
1.1886345105973914e+00 1.2241859718995764e-09 8.2746355212832822e-75 2.3707480949872796e-42
1.3214193094936277e+00 1.2187954398595610e-09 2.0657803022104523e-74 3.7192746946369580e-42
1.4690377705969733e+00 1.2134181992143248e-09 3.0141992293264450e-74 3.3002752221343201e-42
1.6331469927342785e+00 1.2080552001888246e-09 6.0132375614719255e-74 1.3887827160063279e-42
1.8155891926408125e+00 1.2027043778922237e-09 3.8275307145808407e-74 2.1288585757115102e-42
2.0184123848614566e+00 1.1973667994145466e-09 1.9644475781801930e-73 -4.0839104521075898e-42
2.2438933718460938e+00 1.1920426644515192e-09 2.4770789167115611e-73 -1.4138573321512859e-41
2.4945633023156657e+00 1.1867318943016749e-09 3.6983059349300288e-73 -1.6403245511406640e-41
2.7732360848057520e+00 1.1814345039251365e-09 3.6364467139602892e-73 -1.9747747894561117e-41
3.0830399753453626e+00 1.1761506817942038e-09 1.0246026602063051e-73 -5.1873854898937619e-42
3.4274526938601082e+00 1.1708766883663763e-09 3.8584503057990749e-73 -1.9527162164563555e-41
3.8103404635007894e+00 1.1656215729834929e-09 9.5040223867096139e-73 -2.8801378825318522e-41
4.2360014111354394e+00 1.1603772676703530e-09 1.5101749372293551e-72 -2.9569213859068537e-41
4.7092138161993820e+00 1.1551468125565778e-09 1.8337918085643117e-72 -1.7075918256894041e-41
5.2352897495231918e+00 1.1499294761220050e-09 2.4542931730872086e-72 1.4210211614327808e-42
5.8201347042642277e+00 1.1447024144783169e-09 3.1397775169790963e-72 7.1446110399297220e-42
6.4703138883317681e+00 1.1394862318684237e-09 4.7499575903819419e-72 2.8079351894067484e-41
7.1931259224749278e+00 1.1342838186701936e-09 1.8647052821616185e-72 4.4880406540133482e-41
7.9966847713351203e+00 1.1290948606382540e-09 1.1558592307811637e-71 9.6404822374859273e-41
8.8900108271844207e+00 1.1239195125768184e-09 1.3703822248566845e-71 1.2247223842912120e-40
9.8831321688151323e+00 1.1187570011305977e-09 8.1827347877388841e-71 2.8366817163880201e-40
1.0987197132267571e+01 1.1136075681138193e-09 2.8836667827672308e-71 1.5731013173047202e-40
1.2214599457064800e+01 1.1084714648538374e-09 4.0424999292074813e-71 1.4987818433349178e-40
1.3579117412789708e+01 1.1033486142194652e-09 4.0446067829446211e-71 8.8780428595577257e-41
1.5096068467777544e+01 1.0982390997366071e-09 6.0605973321901946e-71 -3.4496764878392624e-41
1.6782481236165204e+01 1.0931427666346055e-09 7.8687101491283558e-71 -8.0894312438717665e-41
1.8657286633498035e+01 1.0880590919904622e-09 1.2027095205156307e-70 -1.8535585144402231e-40
2.0741530386721529e+01 1.0829889250699485e-09 1.7316930300429146e-70 -3.4549366900753530e-40
2.3058609284099944e+01 1.0779300821562115e-09 1.2211040481340174e-70 -3.5248256374845377e-40
2.5634533817098120e+01 1.0728882983378601e-09 3.0443884730522438e-70 -5.2172493548910324e-40
2.8498220162526039e+01 1.0678583792925502e-09 1.1346986967897920e-70 -2.8536623312531239e-40
3.1681814782608068e+01 1.0628410733757433e-09 5.1633758705076791e-70 -6.1778169366197476e-40
3.5221055286791405e+01 1.0578183675550344e-09 8.2932781872328419e-70 -7.5359976417110412e-40
