# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745136132146e-02 1.0000000000000000e-04 6.0576882206262562e-05 7.1482978594836293e-06 1.0000000000000000e+00 7.1482978594836293e-06 1.2325671638775150e-04 1.1223361080402584e-07 1.5667673033809038e-19 1.2325671638823105e-04 -9.3841838557057168e-11
1.0010010010010011e-01 5.6984282580406065e+00 -1.5703536987925343e-02 1.0607733250110820e-04 6.1010429115723505e-05 7.1482096535073014e-06 1.1052815513322825e+00 7.9007842550769470e-06 1.2330055471219308e-04 1.1225218277645912e-07 5.9328764416181909e-05 -3.2320637082358665e-03 -9.3841942318285315e-11
2.0020020020020021e-01 5.6968559970257981e+00 -1.5710889679970100e-02 1.1224249217785679e-04 6.2291806945394149e-05 7.1481213903504329e-06 1.2216473077154968e+00 8.7324832517451596e-06 1.2341604579176212e-04 1.1230335502471370e-07 1.0413688565017305e-04 -5.7196823247223898e-03 -9.3842047257705090e-11
3.0030030030030030e-01 5.6952828221289904e+00 -1.5721629912221396e-02 1.1856968167448415e-04 6.4220508445254844e-05 7.1480330256464554e-06 1.3502642314526905e+00 9.6517333197729605e-06 1.2358484326223086e-04 1.1237873881395617e-07 1.3886840977046414e-04 -7.5640991734317398e-03 -9.3842153018389057e-11
4.0040040040040042e-01 5.6937084397329700e+00 -1.5734889289246993e-02 1.2511639509566318e-04 6.6658217057846521e-05 7.1479445263328744e-06 1.4924221444485217e+00 1.0667750698388782e-05 1.2379339173856690e-04 1.1247212545700925e-07 1.6668038178674509e-04 -8.9322499892602672e-03 -9.3842259373261168e-11
5.0050050050050054e-01 5.6921326316184473e+00 -1.5750026581127920e-02 1.3192850300958178e-04 6.9511038946110841e-05 7.1478558677574371e-06 1.6495466630587137e+00 1.1790721794683927e-05 1.2403169180826609e-04 1.1257893046051723e-07 1.8980154227117259e-04 -9.9477906822306502e-03 -9.3842366170360062e-11
6.0060060060060061e-01 5.6905552346333916e+00 -1.5766566490734397e-02 1.3904422178464065e-04 7.2715680268953145e-05 7.1477670314051053e-06 1.8232134947405245e+00 1.3031905308919206e-05 1.2429233482542042e-04 1.1269575570835478e-07 2.0981956021711671e-04 -1.0702565095910051e-02 -9.3842473302699903e-11
7.0070070070070078e-01 5.6889761268759802e+00 -1.5784158038066692e-02 1.4649654429737378e-04 7.6231062357879489e-05 7.1476780033575946e-06 2.0151642398767593e+00 1.4403745110519940e-05 1.2456985040583608e-04 1.1282009190743084e-07 2.2785725162384192e-04 -1.1264480226832432e-02 -9.3842580690872297e-11
8.0080080080080085e-01 5.6873952166786923e+00 -1.5802541381198566e-02 1.5431520073023238e-04 8.0031604714307078e-05 7.1475887730655881e-06 2.2273238572403238e+00 1.5919994995992080e-05 1.2486018786588200e-04 1.1295008136228449e-07 2.4471606712812561e-04 -1.1683843950948925e-02 -9.3842688272826988e-11
9.0090090090090091e-01 5.6858124349458654e+00 -1.5821524737274720e-02 1.6252792012860272e-04 8.4102985541138379e-05 7.1474993324959025e-06 2.4618199682499884e+00 1.7595856579791876e-05 1.2516035657859562e-04 1.1308435296388012e-07 2.6096748174047349e-04 -1.1997799483602021e-02 -9.3842795997434158e-11
