# k_modes  P_R(k)  P_S(k)  P_RS(k)  P_T(k)  beta_iso  cosDelta
4.8830463161682271e-05 2.8467119873280436e-09 5.6767476949943616e-82 7.1773898177794469e-46 1.0288670636789800e-11 1.9941419153971462e-73 5.6460532916056549e-01
5.4650400274798401e-05 2.8382164410935291e-09 5.0716111227600948e-82 6.6579277064264971e-46 1.0286982437585238e-11 1.7869007625105809e-73 5.5493657138606522e-01
6.1163995932345583e-05 2.8335507953871941e-09 3.7069293722562864e-82 7.1487941893183604e-46 1.0285187820684976e-11 1.3082276055509173e-73 6.9752557716496355e-01
6.8453924941097553e-05 2.8319364055971984e-09 5.1683700716279252e-82 7.4985602574572336e-46 1.0283263192957635e-11 1.8250304143175205e-73 6.1981108057815348e-01
7.6612715837346638e-05 2.8315358736465607e-09 3.0640812891174245e-82 6.6790445447391981e-46 1.0280830612426355e-11 1.0821269536562088e-73 7.1705614905772519e-01
8.5743925319469290e-05 2.8346639151534246e-09 3.0818352348348134e-82 6.3059496618953455e-46 1.0278196992945146e-11 1.0871959876301635e-73 6.7467559992726189e-01
9.5963452657121437e-05 2.8411241292163429e-09 1.2688810533610126e-81 8.6906863345564051e-46 1.0275359436519601e-11 4.4661232514012102e-73 4.5771855160442287e-01
1.0740101076040419e-04 2.8506401472588302e-09 2.8904311296411844e-82 6.4801872160531354e-46 1.0272285319023470e-11 1.0139586129173888e-73 7.1389615267571016e-01
1.2020177258076619e-04 2.8628764466439285e-09 2.9187979230388942e-82 6.4569231523716330e-46 1.0268941965480705e-11 1.0195333181285280e-73 7.0635382390869084e-01
1.3452821374084314e-04 2.8774594592176441e-09 3.0431678485401070e-82 7.0545886216607257e-46 1.0265294963303540e-11 1.0575884357959008e-73 7.5388331805820896e-01
1.5056217478108855e-04 2.8939881010204825e-09 2.1048497520392511e-82 6.2385208638842052e-46 1.0261307940610485e-11 7.2731803952374096e-74 7.9932373864413531e-01
1.6850716919858053e-04 2.9108858463099713e-09 2.5030349940970463e-82 6.4397214087420028e-46 1.0256937778654574e-11 8.5988772018320705e-74 7.5443361645714835e-01
1.8859096657313675e-04 2.9262451452745463e-09 2.7025136780896474e-82 7.1135362167098387e-46 1.0251725835373674e-11 9.2354315647607582e-74 7.9991942556551932e-01
2.1106848356746089e-04 2.9421819430670788e-09 8.5666511062549007e-83 4.3140444677645258e-46 1.0246016277223213e-11 2.9116659921189619e-74 8.5929901622223870e-01
2.3622501949578173e-04 2.9583405229599345e-09 1.5536511385110860e-82 6.5713764680185081e-46 1.0239745789000920e-11 5.2517657330285889e-74 9.6929397488912028e-01
2.6437987752893084e-04 2.9744022681225279e-09 1.3251205615133170e-82 5.7390691827279485e-46 1.0232845028964449e-11 4.4550818687673543e-74 9.1414252390885786e-01
2.9589041749856061e-04 2.9900823154990825e-09 1.0800587846966340e-82 5.1382967777387400e-46 1.0225239514154369e-11 3.6121372950107512e-74 9.0417795801460665e-01
3.3115659174133544e-04 3.0051278766959383e-09 2.3382536512138737e-82 7.5740053547934025e-46 1.0216852628353109e-11 7.7808790412763543e-74 9.0354194518786701e-01
3.7062602155499372e-04 3.0193227484548820e-09 1.7146057127433643e-82 6.9073764841758636e-46 1.0207595322498977e-11 5.6787758566744883e-74 9.6001103464088178e-01
4.1479967869996877e-04 3.0306889842188800e-09 1.9002815540793297e-82 6.9115307702663587e-46 1.0197304509782782e-11 6.2701305345889925e-74 9.1074036264941316e-01
4.6423824405990110e-04 3.0386560175580098e-09 2.2556733735096885e-82 7.6488547611677980e-46 1.0185549899905739e-11 7.4232600217856891e-74 9.2388419587909787e-01
5.1956922416930627e-04 3.0452500778192599e-09 1.5498906453121145e-82 6.4938067216802921e-46 1.0172585363158744e-11 5.0895348680920478e-74 9.4522967664498203e-01
5.8149491593601377e-04 3.0504124565698936e-09 3.8961203550856006e-83 2.8663053227658565e-46 1.0158284738341092e-11 1.2772437860638305e-74 8.3143247795335085e-01
6.5080132065183083e-04 3.0541064471011671e-09 1.4448330722604854e-82 6.4173014097836891e-46 1.0142513597821072e-11 4.7307881938164334e-74 9.6605425100696751e-01
7.2836812043387204e-04 3.0563044199164710e-09 1.2397565353260456e-82 5.7075313161863375e-46 1.0125130594532866e-11 4.0563908727388100e-74 9.2721787444587689e-01
8.1517984372406118e-04 3.0569913289660347e-09 1.6058604106572179e-82 6.5735081515694377e-46 1.0105980475550817e-11 5.2530747975669517e-74 9.3820168070191068e-01
9.1233836156660170e-04 3.0561522858851926e-09 2.0141132430989356e-82 7.4121272071688525e-46 1.0084900254742266e-11 6.5903562868941330e-74 9.4474244165997012e-01
1.0210768732743433e-03 3.0506456808160060e-09 2.0578365097005335e-82 7.8031092825058743e-46 1.0061466186363661e-11 6.7455769204573455e-74 9.8484156728450345e-01
1.1427755589992238e-03 3.0426849813261537e-09 1.3590644686409081e-82 6.2515061519286937e-46 1.0035474814264895e-11 4.4666617707119984e-74 9.7215639698500822e-01
1.2789790978794495e-03 3.0331819770487108e-09 7.3235238514880264e-83 4.6137552033892772e-46 1.0006987400402440e-11 2.4144689988609989e-74 9.7891563374814006e-01
1.4314162741151531e-03 3.0221865952515875e-09 1.3513168439957238e-82 6.2971875897183273e-46 9.9758172067989478e-12 4.4713216785452356e-74 9.8538829300732489e-01
1.6020219198256453e-03 3.0097284517115302e-09 1.2560739346504961e-82 4.0785929136754675e-46 9.9417784827665151e-12 4.1733796081709953e-74 6.6334445279819010e-01
1.7929614732013174e-03 2.9958194738828950e-09 1.6794815436997247e-82 6.8909050275472826e-46 9.9046746839978016e-12 5.6060839391064546e-74 9.7147320577897356e-01
2.0066584636582933e-03 2.9804827089924890e-09 1.7071189460176265e-82 6.9272709137606508e-46 9.8643113127929261e-12 5.7276592844073050e-74 9.7115148373674864e-01
2.2458252728553381e-03 2.9619581199197096e-09 1.5106440980787414e-82 6.5300858043184878e-46 9.8204208890875316e-12 5.1001534691506401e-74 9.7622146344942895e-01
2.5134975620119469e-03 2.9400727260690282e-09 1.0478944409841507e-82 5.5067051299293633e-46 9.7727057071769035e-12 3.5641786398434412e-74 9.9209672696347750e-01
2.8130728025015589e-03 2.9168858158595274e-09 1.7168204058151079e-80 5.6676562486623997e-45 9.7213087009567434e-12 5.8857991508632549e-72 8.0090564408238663e-01
3.1483533987753951e-03 2.8924677854708986e-09 1.7390653987883052e-82 7.0150596524126977e-46 9.6661411407573626e-12 6.0123933186871514e-74 9.8909759503938055e-01
