# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
1.5015015015015016e+00 5.6771050227226674e+00 -1.4789260420541831e-02 7.7958675103033821e+00 -3.5516083131219921e-02 6.9336350409422488e-06 4.4884233877350690e+00 3.1121089679784590e-05 1.1548065390169025e-04 1.0537327528250761e-07 -1.1022792780251307e-01 -1.1142963059062448e-02 1.3643728140437318e-10
1.6016016016016017e+00 5.6756263185553379e+00 -1.4756237669382716e-02 7.7922327084084113e+00 -3.7076495622239643e-02 6.9335548697883688e-06 4.9609715650319153e+00 3.4397168553608661e-05 1.1555041533728605e-04 1.0540387564308531e-07 -9.7595780515879360e-02 -1.3654494839257736e-02 1.3681999577769006e-10
1.7017017017017018e+00 5.6741506290238126e+00 -1.4728973874142995e-02 7.7884507480567207e+00 -3.8458105380737267e-02 6.9334746353855027e-06 5.4832703475138160e+00 3.8018115873448492e-05 1.1566403973579046e-04 1.0545446204188019e-07 -8.5738572403307040e-02 -1.5708175507926907e-02 1.3712433216537171e-10
1.8018018018018018e+00 5.6726773960597363e+00 -1.4707082615432307e-02 7.7845389189436140e+00 -3.9673658606815300e-02 6.9333943103586510e-06 6.0605575560743734e+00 4.2020235276887193e-05 1.1581292488440388e-04 1.0552108513068781e-07 -7.4755067104375239e-02 -1.7372491134319400e-02 1.3736347070897798e-10
1.9019019019019021e+00 5.6712061025764928e+00 -1.4690148717200218e-02 7.7805131678806951e+00 -4.0736677578276009e-02 6.9333138728004196e-06 6.6986224575164703e+00 4.6443652013351380e-05 1.1598992245665767e-04 1.0560045914724842e-07 -6.4696322084422192e-02 -1.8712051057523094e-02 1.3754931966171854e-10
2.0020020020020022e+00 5.6697362740320614e+00 -1.4677744842835211e-02 7.7763880627593558e+00 -4.1660945014394386e-02 6.9332333053047141e-06 7.4038638216330694e+00 5.1332715236087041e-05 1.1618920027216332e-04 1.0568990166396399e-07 -5.5576524783345994e-02 -1.9784987611214739e-02 1.3769228178380270e-10
2.1021021021021022e+00 5.6682674781763982e+00 -1.4669443756561092e-02 7.7721768130320310e+00 -4.2460132826729967e-02 6.9331525940965564e-06 8.1833540906275601e+00 5.6736442641845134e-05 1.1640607451072669e-04 1.0578725797225816e-07 -4.7381993219882797e-02 -2.0641816701493013e-02 1.3780120561477567e-10
2.2022022022022023e+00 5.6667993253753846e+00 -1.4664829468069058e-02 7.7678912697049096e+00 -4.3147460801464060e-02 6.9330717283094538e-06 9.0449103043902070e+00 6.2709011916462607e-05 1.1663683515094014e-04 1.0589082142683277e-07 -4.0079045356830476e-02 -2.1325268526426706e-02 1.3788344570036045e-10
2.3023023023023024e+00 5.6653314667998371e+00 -1.4663503948799107e-02 7.7635419911582586e+00 -4.3735500543647367e-02 6.9329906993642316e-06 9.9971724928977554e+00 6.9310303913200065e-05 1.1687857656155149e-04 1.0599925568097388e-07 -3.3620036670902659e-02 -2.1870737966023502e-02 1.3794500210471592e-10
2.4024024024024024e+00 5.6638635919466385e+00 -1.4665091403139997e-02 7.7591383272966272e+00 -4.4236053141846907e-02 6.9329095004572617e-06 1.1049690321886450e+01 7.6606503009717230e-05 1.1712904304457920e-04 1.0611152358676576e-07 -2.7948085716617839e-02 -2.2307071216178403e-02 1.3799069229477064e-10
