# k_modes P_R(k) P_S(k) P_RS(k) 
1.9476049253056465e-03 3.2804805295528525e-09 3.2824489345373817e-69 3.2804822608182918e-39
2.1564522779588687e-03 3.2875493830340373e-09 3.1915559867056372e-69 3.2385129509544293e-39
2.3876949409460950e-03 3.2910569464998426e-09 3.1460909662369159e-69 3.2172974512313856e-39
2.6437344286680859e-03 3.2910590673765692e-09 3.1014052878525383e-69 3.1945314104751945e-39
2.9272297769142707e-03 3.2875185971710156e-09 3.0149478305009821e-69 3.1481118208624066e-39
3.2411251576318395e-03 3.2804529083654606e-09 3.0083425076218663e-69 3.1413603863220816e-39
3.5886804549069983e-03 3.2699380192849692e-09 2.9609205324626484e-69 3.1115543980888236e-39
3.9735051196978146e-03 3.2559727712545406e-09 2.9147404287081138e-69 3.0806227506454512e-39
4.3995956549087332e-03 3.2386229712138225e-09 2.8698617549409860e-69 3.0486706104133667e-39
4.8713771200989131e-03 3.2181034117430974e-09 2.8014884231266090e-69 3.0025779109220228e-39
5.3937490868613590e-03 3.1945526114835672e-09 2.7747008111986797e-69 2.9772279493540063e-39
5.9721365221313471e-03 3.1681078353013726e-09 2.7266856787207775e-69 2.9391056503967158e-39
6.6125461278602991e-03 3.1389048350746184e-09 2.6796580608675996e-69 2.9001813576100367e-39
7.3216287221570921e-03 3.1070906286613579e-09 2.6315336918238182e-69 2.8594129318519385e-39
8.1067483097409729e-03 3.0728442518588618e-09 2.5835018495259055e-69 2.8175377204927963e-39
8.9760585590204396e-03 3.0363827286534155e-09 2.4949659523900791e-69 2.7523645068156262e-39
9.9385874800322418e-03 2.9979394038330192e-09 2.4853074481810567e-69 2.7295925853613572e-39
1.1004331182642489e-02 2.9577366710751007e-09 2.4374156764173554e-69 2.6849877093152307e-39
1.2184357688713024e-02 2.9159758767329389e-09 2.3484566703501448e-69 2.6168716414735546e-39
1.3490921876348923e-02 2.8728500343378575e-09 2.3196865663268676e-69 2.5814940042441096e-39
1.4937592749952688e-02 2.8285402505118212e-09 2.2959094500989302e-69 2.5483420618692518e-39
1.6539394357817264e-02 2.7832666448633964e-09 2.1951525655926541e-69 2.4717529486441136e-39
1.8312961820723374e-02 2.7372859566049459e-09 2.1513730031824489e-69 2.4266342656795099e-39
2.0276714091937924e-02 2.6908598834792170e-09 2.1602054675770493e-69 2.4108080634522376e-39
2.2451045242770758e-02 2.6442318298583285e-09 2.1181442401785593e-69 2.3662940757995236e-39
2.4858536260239074e-02 2.5976408553248730e-09 2.4284849868184538e-69 2.5110382494214325e-39
2.7524189556412740e-02 2.5513408776508548e-09 2.0342894279090712e-69 2.2772877457932239e-39
3.0475688624880211e-02 2.5056052416653994e-09 1.9978336820335780e-69 2.2359472150058409e-39
3.3743685540934064e-02 2.4607047661069583e-09 1.9610126526971125e-69 2.1945648831172398e-39
3.7362119291239421e-02 2.4169127747638211e-09 1.9262341310380426e-69 2.1545378989714868e-39
4.1368568238920392e-02 2.3745312453169451e-09 1.8949196763760770e-69 2.1167023897727239e-39
4.5804640384505477e-02 2.3338765845984152e-09 1.8650944906076717e-69 2.0799715567484114e-39
