# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745128206548e-02 1.0000000000000000e-04 4.0384588135243386e-05 7.1482978595062798e-06 1.0000000000000000e+00 7.1482978595062798e-06 1.2325670655616766e-04 1.1223360632821899e-07 -1.5667674283443292e-19 1.2325670655556869e-04 -6.2889446064745371e-11
1.0010010010010011e-01 5.6984282583990407e+00 -1.5703530156359800e-02 1.0404775175403072e-04 4.0562274210564237e-05 7.1482096535771740e-06 1.1052815513322825e+00 7.9007842551541761e-06 1.2330043753011421e-04 1.1225212943424728e-07 2.6341756707387093e-05 -3.2333517460951342e-03 -6.2889932015637554e-11
2.0020020020020021e-01 5.6968559983388287e+00 -1.5710877604354068e-02 1.0813319227622310e-04 4.1119333256765510e-05 7.1481213905347481e-06 1.2216473077154968e+00 8.7324832519703281e-06 1.2341584562105239e-04 1.1230326394945242e-07 4.6098034396186947e-05 -5.7219587712459725e-03 -6.2890419904660712e-11
3.0030030030030030e-01 5.6952828248925469e+00 -1.5721613708672321e-02 1.1228937117603433e-04 4.1962867136420085e-05 7.1480330260014892e-06 1.3502642314526905e+00 9.6517333202523506e-06 1.2358457721927776e-04 1.1237861785257361e-07 6.1171961605356527e-05 -7.5671502730908138e-03 -6.2890909529500647e-11
4.0040040040040042e-01 5.6937084443082400e+00 -1.5734869540283716e-02 1.1654150686090303e-04 4.3027066214261321e-05 7.1479445269000400e-06 1.4924221444485217e+00 1.0667750699235232e-05 1.2379306858550593e-04 1.1247197865610624e-07 7.2935138988015709e-05 -8.9359629207032554e-03 -6.2891400750091382e-11
5.0050050050050054e-01 5.6921326382532325e+00 -1.5750003422917505e-02 1.2090921902400812e-04 4.4265705720840731e-05 7.1478558685656869e-06 1.6495466630587137e+00 1.1790721796017172e-05 1.2403131330115534e-04 1.1257875868205936e-07 8.2369657111243657e-05 -9.9521374763287748e-03 -6.2891893468293469e-11
6.0060060060060061e-01 5.6905552437785385e+00 -1.5766540580631077e-02 1.2540824002271094e-04 4.5646400429447219e-05 7.1477670325065209e-06 1.8232134947405245e+00 1.3031905310927323e-05 1.2429191093832678e-04 1.1269556354079617e-07 9.0180209195705186e-05 -1.0707417234409246e-02 -6.2892387614582442e-11
7.0070070070070078e-01 5.6889761387559394e+00 -1.5784129270223827e-02 1.3005160936420401e-04 4.7146603397881233e-05 7.1476780047790209e-06 2.0151642398767593e+00 1.4403745113384347e-05 1.2456937908929440e-04 1.1281987848029853e-07 9.6873481847510858e-05 -1.1269855323648891e-02 -6.2892883139392670e-11
8.0080080080080085e-01 5.6873952316072218e+00 -1.5802509842654067e-02 1.3485046727467848e-04 4.8750957672669118e-05 7.1475887748442209e-06 2.2273238572403238e+00 1.5919994999953670e-05 1.2485967009727341e-04 1.1294984717762725e-07 1.0281128018194054e-04 -1.1689722313199218e-02 -6.2893380007435476e-11
9.0090090090090091e-01 5.6858124531288201e+00 -1.5821490116287928e-02 1.3981469249101962e-04 5.0449174310231875e-05 7.1474993346570283e-06 2.4618199682499884e+00 1.7595856585112178e-05 1.2515978700986422e-04 1.1308409566423364e-07 1.0825359613935066e-04 -1.2004237446980879e-02 -6.2893878193585445e-11
1.0010010010010011e+00 5.6842277508570742e+00 -1.5840928403262757e-02 1.4495331371132807e-04 5.2234674721834985e-05 7.1474096780391559e-06 2.7210041936081373e+00 1.9448131707379931e-05 1.2546751949879908e-04 1.1322161096878439e-07 1.1338632058800385e-04 -1.2240843976792476e-02 -6.2894377680121653e-11
1.1011011011011012e+00 5.6826410843815776e+00 -1.5860719391713504e-02 1.5027485836233045e-04 5.4103445467271733e-05 7.1473198001564986e-06 3.0074757362928479e+00 2.1495390878496115e-05 1.2578122394828287e-04 1.1336164018233427e-07 1.1834472826177012e-04 -1.2419937413718780e-02 -6.2894878454581100e-11
1.2012012012012012e+00 5.6810524225218755e+00 -1.5880785641131958e-02 1.5578754084652740e-04 5.6053435511161517e-05 7.1472296972051831e-06 3.3241074474039571e+00 2.3758159464786480e-05 1.2609969148384025e-04 1.1350362965269351e-07 1.2322590844865750e-04 -1.2556516051580018e-02 -6.2895380508426169e-11
1.3013013013013013e+00 5.6794617406880104e+00 -1.5901069631476732e-02 1.6149945143876664e-04 5.8083952434520113e-05 7.1471393661166767e-06 3.6740746362618388e+00 2.6259123466877798e-05 1.2642202404852443e-04 1.1364716814127681e-07 1.2810121300898465e-04 -1.2661720254982233e-02 -6.2895883835882894e-11
1.4014014014014016e+00 5.6778690192993269e+00 -1.5921529000256507e-02 1.6741866190684166e-04 6.0195340712214886e-05 7.1470488043816603e-06 4.0608869136780772e+00 2.9023356961132033e-05 1.2674756042105751e-04 1.1379195277069380e-07 1.3302294373676113e-04 -1.2743757873385888e-02 -6.2896388433219231e-11
1.5015015015015016e+00 5.6762742425597104e+00 -1.5942132853316453e-02 1.7355330840913543e-04 6.2388737874059243e-05 7.1469580099133090e-06 4.4884233877350690e+00 3.2078573482855381e-05 1.2707581885265291e-04 1.1393776264920052e-07 1.3802944096093936e-04 -1.2808620803574613e-02 -6.2896894298189888e-11
1.6016016016016017e+00 5.6746773971165547e+00 -1.5962857725246936e-02 1.7991168764861255e-04 6.4665787240404313e-05 7.1468669808965168e-06 4.9609715650319153e+00 3.5455403871293110e-05 1.2740643370549436e-04 1.1408442999274700e-07 1.4315101300005050e-04 -1.2860863637414437e-02 -6.2897401429469437e-11
