# k_modes P_R(k) P_S(k) P_RS(k) 
4.8260884560946656e-03 1.4739337863127291e-09 8.0507620173970578e-69 3.1960827562113914e-39
5.3650591138065112e-03 1.5234678188499782e-09 7.8386809659802674e-69 3.2245696949895411e-39
5.9642212438705674e-03 1.5738646066219210e-09 7.4879666341228993e-69 3.2202903357217265e-39
6.6302969438483362e-03 1.6251301412562491e-09 7.2254939310332942e-69 3.2302995566556008e-39
7.3707590255447280e-03 1.6772648620246759e-09 7.0455896784687463e-69 3.2554746449617392e-39
8.1939148537012764e-03 1.7302668119670108e-09 6.6718273620387671e-69 3.2313968303842936e-39
9.1089995476747385e-03 1.7841307509895530e-09 6.3938417559372429e-69 3.2250762093363531e-39
1.0126279591745871e-02 1.8388324955269093e-09 6.1855745255870129e-69 3.2324267551133458e-39
1.1257168016479347e-02 1.8943302994750940e-09 6.0225594267746710e-69 3.2486583557656513e-39
1.2514352443373246e-02 1.9505647280245791e-09 5.8282190015231065e-69 3.2535346595490161e-39
1.3911937429351897e-02 2.0074655160154671e-09 5.6514981452944698e-69 3.2602022270606238e-39
1.5465602708088090e-02 2.0649588667963059e-09 5.4761317384249152e-69 3.2642060782230102e-39
1.7192779103490000e-02 2.1229612477202752e-09 5.2872515252867382e-69 3.2608932109627725e-39
1.9112844088954643e-02 2.1813725748308704e-09 5.3268065315366459e-69 3.3261228530912999e-39
2.1247339186399202e-02 2.2400714833080620e-09 5.0241592603221956e-69 3.2810990805063119e-39
2.3620211644105278e-02 2.2985861805537209e-09 4.8933805045146539e-69 3.2872767663551077e-39
2.6258083104799181e-02 2.3569356496617875e-09 4.7705962302529770e-69 3.2933069456078105e-39
2.9190548278199294e-02 2.4151891585542312e-09 4.6577379793484402e-69 3.3002195600180550e-39
3.2450506968886392e-02 2.4732074293688549e-09 4.5525346333788113e-69 3.3073807458413751e-39
3.6074533184571746e-02 2.5308313907304520e-09 4.3320471568979929e-69 3.2688556041067267e-39
4.0103285465848848e-02 2.5878705945742021e-09 4.3545958324975233e-69 3.3189326752890623e-39
